"Disease","Read code","Medcode","Descr","Category","","","","","","","","","","",""
"Visual impairment and blindness","1B75.00","3268.0","Loss of vision","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","2B6A.11","10388.0","O/E - blind R-eye","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","2B6B.00","33014.0","O/E - R-eye completely blind","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","2B6S.00","51274.0","O/E - pinhole R-eye completely blind","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","2B7A.11","3852.0","O/E - blind L-eye","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","2B7B.00","33016.0","O/E - L-eye completely blind","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","2B7S.00","54513.0","O/E - pinhole L-eye completely blind","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","2BBo.00","52630.0","O/E - sight threatening diabetic retinopathy","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","2BBr.00","101881.0","Impaired vision due to diabetic retinopathy","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","6688.00","2746.0","Registered partially sighted","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","6688.11","6768.0","Registered partially blind","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","6689.00","510.0","Registered blind","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","6689.11","101051.0","Registered severely sight impaired","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","668D.00","100999.0","Registered sight impaired","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","8F61.00","67126.0","Blind rehabilitation","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","8F62.00","91521.0","Blind lead dog rehabilitation","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","8F6..11","55846.0","Blind rehabilitation","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","8HlE.00","98935.0","Referral to visual impairment multidisciplinary team","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","9m08.00","106329.0","Excluded from diabetic retinopathy screening as blind","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","9NfB.00","105795.0","Requires deafblind communicator guide","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","9NlD.00","98226.0","Seen by visual impairment teacher","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F404100","10868.0","Blind hypotensive eye","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F404200","37086.0","Blind hypertensive eye","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F490000","55108.0","Unspecified blindness both eyes","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F490100","55436.0","Both eyes total visual impairment","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F490200","98672.0","Better eye: near total VI, Lesser eye: unspecified","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F490400","96455.0","Better eye: near total VI, Lesser eye: near total VI","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F490600","99191.0","Better eye: profound VI, Lesser eye: total VI","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F490900","42262.0","Acquired blindness, both eyes","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F490.00","1990.0","Blindness, both eyes","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F490z00","47956.0","Blindness both eyes NOS","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F491000","29387.0","One eye blind, one eye low vision","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F491100","99504.0","Better eye: severe VI, Lesser eye: blind, unspecified","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F491300","50679.0","Better eye: severe VI, Lesser eye: near total VI","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F491400","67594.0","Better eye: severe VI, Lesser eye: profound VI","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F491500","68391.0","Better eye: moderate VI, Lesser eye: blind, unspecified","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F491700","72411.0","Better eye: moderate VI, Lesser eye: near total VI","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F491.00","55844.0","Better eye: low vision, Lesser eye: profound VI","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F491z00","54962.0","One eye blind, one eye low vision NOS","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F492000","40451.0","Low vision, both eyes unspecified","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F492200","66731.0","Better eye: severe VI, Lesser eye: severe VI","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F492300","73224.0","Better eye: moderate VI, Lesser eye: low vision unspecified","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F492400","68386.0","Better eye: moderate VI, Lesser eye: severe VI","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F492500","71319.0","Better eye: moderate VI, Lesser eye: moderate VI","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F492.00","7203.0","Low vision, both eyes","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F492z00","33447.0","Low vision, both eyes NOS","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F493.00","20256.0","Visual loss, both eyes unqualified","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F494.00","60401.0","Legal blindness USA","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F495000","3851.0","Blindness, one eye, unspecified","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F495100","63045.0","Lesser eye: total visual impairment, Better eye: unspecified","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F495200","99165.0","Lesser eye: total VI, Better eye: near normal vision","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F495300","99166.0","Lesser eye: total VI, Better eye: normal vision","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F495400","60043.0","Lesser eye: near total VI, Better eye: unspecified","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F495500","63928.0","Lesser eye: near total VI, Better eye: near normal vision","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F495600","65144.0","Lesser eye: near total VI, Better eye: normal vision","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F495800","69998.0","Lesser eye: profound VI, Better eye: near normal vision","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F495A00","38000.0","Acquired blindness, one eye","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F495.00","15269.0","Profound impairment, one eye","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F495z00","44954.0","Profound impairment one eye NOS","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F496000","20607.0","Low vision, one eye, unspecified","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F496100","104087.0","Lesser eye: severe VI, Better eye: unspecified","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F496200","25168.0","Lesser eye: severe VI, Better eye: near normal vision","Diagnosis of blindness","","","","","","","","","","",""
