"Disease","Read code","Medcode","Descr","Category","","","","","","",""
"Cataract","1483.00","5518.0","H/O: cataract","History of cataract","","","","","","",""
"Cataract","14N9.00","28513.0","H/O: R cataract extraction","History of cataract","","","","","","",""
"Cataract","14NA.00","28515.0","H/O: L cataract extraction","History of cataract","","","","","","",""
"Cataract","14NC.00","11970.0","H/O: Bilateral cataract extraction","History of cataract","","","","","","",""
"Cataract","22E5.00","1622.0","O/E - cataract present","Diagnosis of cataract","","","","","","",""
"Cataract","2BT0.00","6547.0","O/E - Right cataract present","Diagnosis of cataract","","","","","","",""
"Cataract","2BT1.00","9931.0","O/E - Left cataract present","Diagnosis of cataract","","","","","","",""
"Cataract","2BT..00","64196.0","Cataract observation","Diagnosis of cataract","","","","","","",""
"Cataract","7263011.0","23883.0","Needling of lens for cataract","Diagnosis of cataract","","","","","","",""
"Cataract","7263.12","6330.0","Extracapsular extraction of cataract","Diagnosis of cataract","","","","","","",""
"Cataract","7264.11","4260.0","Intracapsular extraction of cataract","Diagnosis of cataract","","","","","","",""
"Cataract","7266100.0","38641.0","Discission of cataract","Diagnosis of cataract","","","","","","",""
"Cataract","7266.11","5361.0","Other extraction of cataract","Diagnosis of cataract","","","","","","",""
"Cataract","7267600.0","103508.0","Cataract extraction and insertion of intraocular lens","Diagnosis of cataract","","","","","","",""
"Cataract","8H5H.00","11767.0","Referral for cataract extraction","Diagnosis of cataract","","","","","","",""
"Cataract","8HTV.00","11941.0","Referral to cataract clinic","Diagnosis of cataract","","","","","","",""
"Cataract","8LC0.00","94348.0","Cataract operation planned","Diagnosis of cataract","","","","","","",""
"Cataract","C108F00","44260.0","Insulin dependent diabetes mellitus with diabetic cataract","Diagnosis of cataract","","","","","","",""
"Cataract","C108F11","17545.0","Type I diabetes mellitus with diabetic cataract","Diagnosis of cataract","","","","","","",""
"Cataract","C108F12","110400.0","Type 1 diabetes mellitus with diabetic cataract","Diagnosis of cataract","","","","","","",""
"Cataract","C109E00","69278.0","Non-insulin depend diabetes mellitus with diabetic cataract","Diagnosis of cataract","","","","","","",""
"Cataract","C109E11","48192.0","Type II diabetes mellitus with diabetic cataract","Diagnosis of cataract","","","","","","",""
"Cataract","C109E12","44779.0","Type 2 diabetes mellitus with diabetic cataract","Diagnosis of cataract","","","","","","",""
"Cataract","C10EF00","49554.0","Type 1 diabetes mellitus with diabetic cataract","Diagnosis of cataract","","","","","","",""
"Cataract","C10EF12","100770.0","Insulin dependent diabetes mellitus with diabetic cataract","Diagnosis of cataract","","","","","","",""
"Cataract","C10FE00","44982.0","Type 2 diabetes mellitus with diabetic cataract","Diagnosis of cataract","","","","","","",""
"Cataract","C10FE11","93727.0","Type II diabetes mellitus with diabetic cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F460000","44794.0","Unspecified infantile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F460100","63491.0","Unspecified juvenile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F460200","57805.0","Unspecified presenile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F460300","59125.0","Anterior subcapsular polar cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F460400","4242.0","Posterior subcapsular polar cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F460500","7257.0","Cortical cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F460600","45190.0","Lamellar zonular cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F460700","7793.0","Nuclear cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F460.00","41668.0","Infantile, juvenile and presenile cataracts","Diagnosis of cataract","","","","","","",""
"Cataract","F460x00","94474.0","Combined nonsenile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F460y00","70403.0","Other nonsenile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F460z00","58078.0","Nonsenile cataract NOS","Diagnosis of cataract","","","","","","",""
"Cataract","F461000","47566.0","Unspecified senile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F461100","18048.0","Lens capsule pseudoexfoliation","Diagnosis of cataract","","","","","","",""
"Cataract","F461200","50932.0","Coronary cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F461300","26097.0","Punctate cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F461400","48148.0","Incipient cataract NOS","Diagnosis of cataract","","","","","","",""
"Cataract","F461500","23631.0","Immature cataract NOS","Diagnosis of cataract","","","","","","",""
"Cataract","F461600","92358.0","Anterior subcapsular polar senile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F461700","5325.0","Posterior subcapsular polar senile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F461800","22022.0","Cortical senile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F461900","6876.0","Nuclear senile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F461A00","33793.0","Total, mature senile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F461B00","51162.0","Hypermature cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F461B11","63640.0","Morgagni cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F461.00","10010.0","Senile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F461x00","70257.0","Combined senile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F461y00","49085.0","Other senile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F461z00","29770.0","Senile cataract NOS","Diagnosis of cataract","","","","","","",""
"Cataract","F463000","62188.0","Unspecified cataracta complicata","Diagnosis of cataract","","","","","","",""
"Cataract","F463200","54130.0","Cataract in eye inflammatory disorder","Diagnosis of cataract","","","","","","",""
"Cataract","F463300","61325.0","Cataract with neovascularization","Diagnosis of cataract","","","","","","",""
"Cataract","F463400","19371.0","Cataract in degenerative disorder","Diagnosis of cataract","","","","","","",""
"Cataract","F463.00","48228.0","Cataract secondary to ocular disease","Diagnosis of cataract","","","","","","",""
"Cataract","F463z00","46169.0","Cataract secondary to ocular disorder NOS","Diagnosis of cataract","","","","","","",""
"Cataract","F464000","10659.0","Diabetic cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F464100","45952.0","Tetanic cataract","Diagnosis of cataract","","","","","","",""
