"Disease","Read code","Medcode","Descr","Category"
"Pilonidal cyst/sinus","773B000","57103.0","Excision of pilonidal sinus and Z plasty skin flap HFQ","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","773B100","31272.0","Excision of pilonidal sinus and skin flap NEC","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","773B200","63149.0","Excision of pilonidal sinus and skin graft HFQ","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","773B300","33570.0","Excision of pilonidal sinus and suture HFQ","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","773B400","1421.0","Excision of pilonidal sinus NEC","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","773B500","28472.0","Laying open of track of pilonidal sinus","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","773B.00","1488.0","Pilonidal sinus operations","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","773B700","16096.0","Drainage of pilonidal sinus","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","773B800","71740.0","Injection of radiocontrast substance into pilonidal sinus","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","773B900","57629.0","Destruction of pilonidal sinus NEC","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","773BA00","61171.0","Other specified excision of pilonidal sinus","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","773Bx00","3773.0","Excision of pilonidal sinus NOS","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","773By00","34294.0","Other specified operation on pilonidal sinus","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","773Bz00","1110.0","Operation on pilonidal sinus NOS","Procedure for Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","M060.00","1420.0","Pilonidal cyst with abscess","Diagnosis of Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","M061.00","33891.0","Pilonidal cyst with no abscess","Diagnosis of Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","M062.00","26075.0","Pilonidal sinus with abscess","Diagnosis of Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","M063.00","1109.0","Pilonidal sinus without abscess","Diagnosis of Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","M06..00","5077.0","Pilonidal sinus/cyst","Diagnosis of Pilonidal cyst/sinus"
"Pilonidal cyst/sinus","M06z.00","5429.0","Pilonidal sinus/cyst NOS","Diagnosis of Pilonidal cyst/sinus"
