"Disease","Read code","Medcode","Descr","Category"
"Prematurity","1546.00","11829.0","H/O: premature delivery","History of Prematurity"
"Prematurity","6351.00","29074.0","Baby premature 36-38 weeks","Diagnosis of Prematurity"
"Prematurity","6352.00","27662.0","Baby v. premature 32-36 weeks","Diagnosis of Prematurity"
"Prematurity","6353.00","17915.0","Baby extremely prem.28-32 week","Diagnosis of Prematurity"
"Prematurity","635..13","164.0","Premature baby","Diagnosis of Prematurity"
"Prematurity","6356.00","29996.0","Baby premature 26-28 weeks","Diagnosis of Prematurity"
"Prematurity","6357.00","45702.0","Baby premature 24-26 weeks","Diagnosis of Prematurity"
"Prematurity","635A.00","19598.0","Baby premature 37 weeks","Diagnosis of Prematurity"
"Prematurity","635B.00","17968.0","Baby premature 36 weeks","Diagnosis of Prematurity"
"Prematurity","635C.00","106617.0","Preterm infant status","Diagnosis of Prematurity"
"Prematurity","635C.11","107078.0","Preterm","Diagnosis of Prematurity"
"Prematurity","Q110.00","26683.0","Very premature - less than 1000g or less than 28 weeks","Diagnosis of Prematurity"
"Prematurity","Q110.11","23926.0","Immature baby","Diagnosis of Prematurity"
"Prematurity","Q111.00","23670.0","Premature - weight 1000g-2499g or gestation of 28-37weeks","Diagnosis of Prematurity"
"Prematurity","Q112.00","48011.0","Extreme immaturity","Diagnosis of Prematurity"
"Prematurity","Q112.11","32439.0","Extreme prematurity - less than 28 weeks","Diagnosis of Prematurity"
"Prematurity","Q116.00","35209.0","Premature infant 28-37 weeks","Diagnosis of Prematurity"
"Prematurity","Q11..11","20429.0","Baby born premature","Diagnosis of Prematurity"
"Prematurity","Q11z.00","1211.0","Born premature NOS","Diagnosis of Prematurity"
"Prematurity","Q317100","46795.0","Prematurity with interstitial pulmonary fibrosis","Diagnosis of Prematurity"
"Prematurity","Q432.00","7828.0","Preterm delivery associated jaundice","Diagnosis of Prematurity"
"Prematurity","Q456.00","19574.0","Anaemia of prematurity","Diagnosis of Prematurity"
"Prematurity","Qyu1100","47154.0","[X]Other preterm infants","Diagnosis of Prematurity"
