"Disease","Read code","Medcode","Descr","Category"
"Undescended testicle","B470200","7740.0","Seminoma of undescended testis","History of Undescended testicle"
"Undescended testicle","B470300","36325.0","Teratoma of undescended testis","History of Undescended testicle"
"Undescended testicle","B470.00","64602.0","Malignant neoplasm of undescended testis","History of Undescended testicle"
"Undescended testicle","B470z00","96429.0","Malignant neoplasm of undescended testis NOS","History of Undescended testicle"
"Undescended testicle","PC50000","44918.0","Cryptorchidism, unilateral","Diagnosis of Undescended testicle"
"Undescended testicle","PC50100","47565.0","Cryptorchidism, bilateral","Diagnosis of Undescended testicle"
"Undescended testicle","PC50.00","10965.0","Cryptorchidism","Diagnosis of Undescended testicle"
"Undescended testicle","PC50z00","33424.0","Cryptorchidism NOS","Diagnosis of Undescended testicle"
"Undescended testicle","PC51.00","5241.0","Ectopic testis","Diagnosis of Undescended testicle"
"Undescended testicle","PC5..00","634.0","Undescended testicle","Diagnosis of Undescended testicle"
"Undescended testicle","PC5z000","6794.0","Undescended testis, unilateral","Diagnosis of Undescended testicle"
"Undescended testicle","PC5z011","46552.0","Maldescent of testis, unilateral","Diagnosis of Undescended testicle"
"Undescended testicle","PC5z100","6451.0","Undescended testis, bilateral","Diagnosis of Undescended testicle"
"Undescended testicle","PC5z111","19026.0","Maldescent of testis, bilateral","Diagnosis of Undescended testicle"
"Undescended testicle","PC5z.00","28215.0","Undescended testicle NOS","Diagnosis of Undescended testicle"
"Undescended testicle","PC5z.12","12695.0","Maldescent of testicle","Diagnosis of Undescended testicle"
