"Disease","ICD10codes","ICD10codeDescr","Category"
"Eye infections","A18.5","Tuberculosis of eye","Diagnosis of Eye infections"
"Eye infections","A21.1","Oculoglandular tularaemia","Diagnosis of Eye infections"
"Eye infections","A54.3","Gonococcal infection of eye","Diagnosis of Eye infections"
"Eye infections","A71","Trachoma","Diagnosis of Eye infections"
"Eye infections","A74.0","Chlamydial conjunctivitis","Diagnosis of Eye infections"
"Eye infections","B00.5","Herpesviral ocular disease","Diagnosis of Eye infections"
"Eye infections","B02.3","Zoster ocular disease","Diagnosis of Eye infections"
"Eye infections","B30","Viral conjunctivitis","Diagnosis of Eye infections"
"Eye infections","B58.0","Toxoplasma oculopathy","Diagnosis of Eye infections"
"Eye infections","B69.1","Cysticercosis of eye","Diagnosis of Eye infections"
"Eye infections","B87.2","Ocular myiasis","Diagnosis of Eye infections"
"Eye infections","B94.0","Sequelae of trachoma","Diagnosis of Eye infections"
"Eye infections","H00.0","Hordeolum and other deep inflammation of eyelid","Diagnosis of Eye infections"
"Eye infections","H10","Conjunctivitis","Diagnosis of Eye infections"
"Eye infections","H13.1","Conjunctivitis in infectious and parasitic diseases classified elsewhere","Diagnosis of Eye infections"
"Eye infections","H19.1","Herpesviral keratitis and keratoconjunctivitis","Diagnosis of Eye infections"
"Eye infections","H19.2","Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere","Diagnosis of Eye infections"
"Eye infections","P39.1","Neonatal conjunctivitis and dacryocystitis","Diagnosis of Eye infections"
