Disease,Readcode,Medcode,ReadcodeDescr,Category
Hyperkinetic disorders,6A61.00,101067.0,Attention deficit hyperactivity disorder annual review,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,8BPT.00,108002.0,Drug therapy ADHD (attention deficit hyperactivity disorder),Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,9Ngp.00,107332.0,On drug ther ADHD (attention deficit hyperactivity disorder),Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,E2E0100,9715.0,Attention deficit with hyperactivity,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,E2E1.00,58069.0,Hyperkinesis with developmental delay,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,E2E2.00,45263.0,Hyperkinetic conduct disorder,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,E2E..00,3775.0,Childhood hyperkinetic syndrome,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,E2E..11,9972.0,Overactive child syndrome,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,E2Ey.00,25469.0,Other hyperkinetic manifestation,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,E2Ez.00,41769.0,Hyperkinetic syndrome NOS,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,Eu84400,52602.0,[X]Overactive disorder assoc mental retard/stereotype movts,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,Eu90000,6512.0,[X]Disturbance of activity and attention,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,Eu90011,6519.0,[X]Attention deficit hyperactivity disorder,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,Eu90100,33505.0,[X]Hyperkinetic conduct disorder,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,Eu90111,45799.0,[X]Hyperkinetic disorder associated with conduct disorder,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,Eu90.00,1458.0,[X]Hyperkinetic disorders,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,Eu90y00,6510.0,[X]Other hyperkinetic disorders,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,Eu90z00,50015.0,"[X]Hyperkinetic disorder, unspecified",Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,Eu90z11,97421.0,[X]Hyperkinetic reaction of childhood or adolescence NOS,Diagnosis of Hyperkinetic disorders
Hyperkinetic disorders,Eu90z12,96770.0,[X]Hyperkinetic syndrome NOS,Diagnosis of Hyperkinetic disorders
