Disease,Readcode,Medcode,ReadcodeDescr,Category
Erectile dysfunction,1ABB.00,94821.0,Cannot get an erection,Diagnosis of erectile dysfunction
Erectile dysfunction,1ABC.00,94343.0,Cannot sustain an erection,Diagnosis of erectile dysfunction
Erectile dysfunction,1D1B.00,102274.0,C/O erectile dysfunction,Diagnosis of erectile dysfunction
Erectile dysfunction,7A6G000,37391.0,Revascularisation for impotence,Procedure for erectile dysfunction
Erectile dysfunction,7A6G500,41382.0,Ligation of penile veins for impotence,Procedure for erectile dysfunction
Erectile dysfunction,7C25B00,20833.0,Penile injection to produce erection,Procedure for erectile dysfunction
Erectile dysfunction,7C25E00,12867.0,Treatment of erectile dysfunction NEC,Diagnosis of erectile dysfunction
Erectile dysfunction,7C25F00,81439.0,Operations on penis for erectile dysfunction NEC,Procedure for erectile dysfunction
Erectile dysfunction,8BB4.00,103966.0,Erect dysf unresponsiv to phosphodiesterase-5 inhibitor,Diagnosis of erectile dysfunction
Erectile dysfunction,8HTj.00,12790.0,Referral to erectile dysfunction clinic,Diagnosis of erectile dysfunction
Erectile dysfunction,E227300,710.0,Impotence,Diagnosis of erectile dysfunction
Erectile dysfunction,E227311,3838.0,Erectile dysfunction,Diagnosis of erectile dysfunction
Erectile dysfunction,Eu52200,33494.0,[X]Failure of genital response,Possible diagnosis of erectile dysfunction
Erectile dysfunction,Eu52212,12066.0,[X]Male erectile disorder,Diagnosis of erectile dysfunction
Erectile dysfunction,Eu52213,17639.0,[X]Psychogenic impotence,Diagnosis of erectile dysfunction
Erectile dysfunction,K27y100,17894.0,Impotence of organic origin,Diagnosis of erectile dysfunction
Erectile dysfunction,K27y700,106360.0,Erectile dysfunction due to diabetes mellitus,Diagnosis of erectile dysfunction
Erectile dysfunction,Z9E9.00,92310.0,Provision of device for impotence,Procedure for erectile dysfunction
Erectile dysfunction,ZG43600,40725.0,Advice on technique for impotence,Procedure for erectile dysfunction
