Disease,Readcode,Medcode,ReadcodeDescr,Category
Intracerebral haemorrhage,662o.00,28914.0,Haemorrhagic stroke monitoring,History of Intracerebral haemorrhage
Intracerebral haemorrhage,7004300.0,7017.0,Evacuation of intracerebral haematoma NEC,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G610.00,31595.0,Cortical haemorrhage,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G611.00,40338.0,Internal capsule haemorrhage,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G612.00,46316.0,Basal nucleus haemorrhage,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G613.00,13564.0,Cerebellar haemorrhage,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G614.00,7912.0,Pontine haemorrhage,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G615.00,62342.0,Bulbar haemorrhage,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G616.00,30045.0,External capsule haemorrhage,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G617.00,30202.0,"Intracerebral haemorrhage, intraventricular",Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G618.00,57315.0,"Intracerebral haemorrhage, multiple localized",Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G619.00,107440.0,Lobar cerebral haemorrhage,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G61..00,5051.0,Intracerebral haemorrhage,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G61..11,6960.0,CVA - cerebrovascular accid due to intracerebral haemorrhage,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G61..12,18604.0,Stroke due to intracerebral haemorrhage,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G61X000,28314.0,"Left sided intracerebral haemorrhage, unspecified",Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G61X100,19201.0,"Right sided intracerebral haemorrhage, unspecified",Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G61X.00,31060.0,"Intracerebral haemorrhage in hemisphere, unspecified",Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G61z.00,3535.0,Intracerebral haemorrhage NOS,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,G681.00,48149.0,Sequelae of intracerebral haemorrhage,History of Intracerebral haemorrhage
Intracerebral haemorrhage,G682.00,43451.0,Sequelae of other nontraumatic intracranial haemorrhage,History of Intracerebral haemorrhage
Intracerebral haemorrhage,Gyu6200,53810.0,[X]Other intracerebral haemorrhage,Diagnosis of Intracerebral haemorrhage
Intracerebral haemorrhage,Gyu6F00,96630.0,"[X]Intracerebral haemorrhage in hemisphere, unspecified",Diagnosis of Intracerebral haemorrhage
