Disease,Readcode,Medcode,ReadcodeDescr,Category
Myelodysplastic syndromes,7Q09700,102712.0,Myelodysplastic syndrome drugs Band 1,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,B937000,22890.0,"Refractory anaemia without sideroblasts, so stated",Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,B937100,10817.0,Refractory anaemia with sideroblasts,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,B937200,23875.0,Refractory anaemia with excess of blasts,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,B937300,44420.0,Refractory anaemia with excess of blasts with transformation,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,B937600,105985.0,Refractory anaemia without ring sideroblasts,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,B937700,106993.0,Refractory anaemia with ring sideroblasts,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,B937800,104740.0,Refractory anaemia with multilineage dysplasia,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,B937900,105915.0,5Q minus syndrome,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,B937911,105390.0,Myelodysplastic syndrome isolated del(5q) chromosomal abnorm,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,B937.14,14927.0,Myelodysplasia,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,B937W00,45285.0,"Myelodysplastic syndrome, unspecified",Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,B937W11,4561.0,Myelodysplasia,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,B937X00,19130.0,"Refractory anaemia, unspecified",Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,BBmA.00,56756.0,[M] Refractory anaemia with sideroblasts,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,BBmB.00,60186.0,[M]Refractory anaemia+excess of blasts with transformation,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,BBmL.00,94921.0,[M] Refractory anaemia with excess of blasts,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,BBv..00,7799.0,[M]Myelodysplastic syndrome,Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,ByuHD00,45143.0,"[X]Myelodysplastic syndrome, unspecified",Diagnosis of Myelodysplastic syndromes
Myelodysplastic syndromes,D213.00,16052.0,Refractory Anaemia,Diagnosis of Myelodysplastic syndromes
