Disease,Readcode,Medcode,ReadcodeDescr,Category
Lupus erythematosus (local and systemic),F371000,44095.0,Polyneuropathy in disseminated lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),F396100,108072.0,Myopathy due to disseminated lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),F4D3300,94751.0,Eyelid discoid lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),H57y400,31564.0,Lung disease with systemic lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),K01x400,47672.0,Nephrotic syndrome in systemic lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),K01x411,22205.0,Lupus nephritis,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),K0B4000,41148.0,Renal tubulo-interstitial disorder in SLE,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),M154000,33449.0,Lupus erythematosus chronicus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),M154100,2667.0,Discoid lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),M154200,40797.0,Lupus erythematosus migrans,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),M154300,65391.0,Lupus erythematosus nodularis,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),M154400,46148.0,Lupus erythematosus profundus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),M154500,44984.0,Lupus erythematosus tumidus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),M154600,63955.0,Lupus erythematosus unguium mutilans,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),M154700,25390.0,Subacute cutaneous lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),M154.00,4125.0,Lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),M154z00,7522.0,Lupus erythematosus NOS,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),Myu7800,100692.0,[X]Other local lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),N000000,20007.0,Disseminated lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),N000100,57675.0,Libman-Sacks disease,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),N000200,36942.0,Drug-induced systemic lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),N000300,29519.0,Systemic lupus erythematosus with organ or sys involv,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),N000400,11920.0,Systemic lupus erythematosus with pericarditis,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),N000600,101433.0,Cerebral lupus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),N000.00,7871.0,Systemic lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),N000z00,42719.0,Systemic lupus erythematosus NOS,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),Nyu4300,58706.0,[X]Other forms of systemic lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),ZRq8.00,51798.0,Systemic lupus activity measure,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),ZRq8.11,106086.0,SLAM - Systemic lupus activity measure,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),ZRq9.00,45726.0,Systemic lupus erythematosus disease activity index,Diagnosis of Lupus erythematosus (local and systemic)
Lupus erythematosus (local and systemic),ZRq9.11,63283.0,SLEDAI-Sys lup ery dis act ind,Diagnosis of Lupus erythematosus (local and systemic)
