Disease,Readcode,Medcode,ReadcodeDescr,Category
Agranulocytosis,42H2.00,26325.0,Leucopenia - low white count,Diagnosis of Agranulocytosis
Agranulocytosis,42H2.11,1955.0,Leucopenia,Diagnosis of Agranulocytosis
Agranulocytosis,42H4.00,21258.0,Agranulocytosis,Diagnosis of Agranulocytosis
Agranulocytosis,42J2.00,4463.0,Neutropenia,Diagnosis of Agranulocytosis
Agranulocytosis,D400000,63204.0,Idiopathic agranulocytosis,Diagnosis of Agranulocytosis
Agranulocytosis,D400011,18054.0,Idiopathic neutropenia,Diagnosis of Agranulocytosis
Agranulocytosis,D400100,96380.0,Primary splenic neutropenia,Diagnosis of Agranulocytosis
Agranulocytosis,D400200,54000.0,Agranulocytosis - drug induced,Diagnosis of Agranulocytosis
Agranulocytosis,D400211,35719.0,Neutropenia - drug induced,Diagnosis of Agranulocytosis
Agranulocytosis,D400312,40310.0,Neutropenia due to irradiation,Diagnosis of Agranulocytosis
Agranulocytosis,D400400,50375.0,Agranulocytosis due to infection,Diagnosis of Agranulocytosis
Agranulocytosis,D400411,17705.0,Neutropenia due to infection,Diagnosis of Agranulocytosis
Agranulocytosis,D400600,30008.0,Drug-induced neutropenia,Diagnosis of Agranulocytosis
Agranulocytosis,D400800,49346.0,Acquired neutropenia NEC,Diagnosis of Agranulocytosis
Agranulocytosis,D400811,65903.0,Acquired agranulocytosis NEC,Diagnosis of Agranulocytosis
Agranulocytosis,D400900,32141.0,Cyclical neutropenia,Diagnosis of Agranulocytosis
Agranulocytosis,D400A00,3372.0,Leucopenia,Diagnosis of Agranulocytosis
Agranulocytosis,D400.00,4818.0,Agranulocytosis,Diagnosis of Agranulocytosis
Agranulocytosis,D400.11,70337.0,Kostmann's syndrome,Diagnosis of Agranulocytosis
Agranulocytosis,D400.12,2071.0,Neutropenia,Diagnosis of Agranulocytosis
Agranulocytosis,D400y00,64300.0,Other specified agranulocytosis,Diagnosis of Agranulocytosis
Agranulocytosis,D400z00,63055.0,Agranulocytosis NOS,Diagnosis of Agranulocytosis
