Disease,Readcode,Medcode,ReadcodeDescr,Category
Anorectal prolapse,7720.00,43713.0,Partial excision of rectum and sigmoid colon for prolapse,Procedure for Anorectal prolapse
Anorectal prolapse,7720y00,65586.0,Partial excision of rectum and sigmoid colon for prolapse OS,Procedure for Anorectal prolapse
Anorectal prolapse,7720z00,68666.0,Partial excision of rectum & sigmoid colon for prolapse NOS,Procedure for Anorectal prolapse
Anorectal prolapse,7723400.0,61896.0,Proctopexy for prolapse of rectum,Procedure for Anorectal prolapse
Anorectal prolapse,7723411.0,66421.0,Erickman repair of prolapse of rectum,Procedure for Anorectal prolapse
Anorectal prolapse,7723500.0,52489.0,Insertion of sponge for rectal prolapse,Procedure for Anorectal prolapse
Anorectal prolapse,7723511.0,60050.0,Insertion of Wells sponge for rectal prolapse,Procedure for Anorectal prolapse
Anorectal prolapse,7723.00,37454.0,Fixation of rectum for prolapse,Procedure for Anorectal prolapse
Anorectal prolapse,7723.11,59814.0,Proctopexy for prolapse of rectum,Procedure for Anorectal prolapse
Anorectal prolapse,7723.12,7782.0,Rectopexy for prolapse,Procedure for Anorectal prolapse
Anorectal prolapse,7723y00,43157.0,Other specified fixation of rectum for prolapse,Procedure for Anorectal prolapse
Anorectal prolapse,7723z00,36812.0,Fixation of rectum for prolapse NOS,Procedure for Anorectal prolapse
Anorectal prolapse,7724011.0,103075.0,Graham repair for rectal prolapse,Procedure for Anorectal prolapse
Anorectal prolapse,7724012.0,65638.0,Roscoe repair for rectal prolapse,Procedure for Anorectal prolapse
Anorectal prolapse,7724.00,12043.0,Other abdominal operations for rectal prolapse,Procedure for Anorectal prolapse
Anorectal prolapse,7724y00,55314.0,Other abdominal operation for rectal prolapse OS,Procedure for Anorectal prolapse
Anorectal prolapse,7724y11,24957.0,Delorme repair of rectum for prolapse,Procedure for Anorectal prolapse
Anorectal prolapse,7724z00,53085.0,Other abdominal operation for rectal prolapse NOS,Procedure for Anorectal prolapse
Anorectal prolapse,7726400.0,51487.0,Reduction of prolapsed rectum NEC,Procedure for Anorectal prolapse
Anorectal prolapse,7727011.0,51159.0,Thiersch wiring for prolapse of rectum,Procedure for Anorectal prolapse
Anorectal prolapse,7727400.0,19311.0,Excision of mucosal prolapse of rectum NEC,Procedure for Anorectal prolapse
Anorectal prolapse,7727500.0,12631.0,Perineal repair of rectal prolapse NEC,Procedure for Anorectal prolapse
Anorectal prolapse,7727.00,8462.0,Perineal operations for rectal prolapse,Procedure for Anorectal prolapse
Anorectal prolapse,7727y00,35094.0,Other specified perineal operation for rectal prolapse,Procedure for Anorectal prolapse
Anorectal prolapse,7727z00,28627.0,Perineal operation for rectal prolapse NOS,Procedure for Anorectal prolapse
Anorectal prolapse,7728400.0,26841.0,Manual reduction of rectal prolapse,Diagnosis of Anorectal prolapse
Anorectal prolapse,J571000,3631.0,Partial rectal prolapse,Diagnosis of Anorectal prolapse
Anorectal prolapse,J571100,16283.0,Complete rectal prolapse,Diagnosis of Anorectal prolapse
Anorectal prolapse,J571200,19187.0,Anal prolapse,Diagnosis of Anorectal prolapse
Anorectal prolapse,J571.00,646.0,Rectal prolapse,Diagnosis of Anorectal prolapse
Anorectal prolapse,J571.11,31821.0,Procidentia - anus and/or rectum,Diagnosis of Anorectal prolapse
Anorectal prolapse,J571.12,47689.0,Proctoptosis,Diagnosis of Anorectal prolapse
Anorectal prolapse,J571z00,14911.0,Rectal prolapse NOS,Diagnosis of Anorectal prolapse
Anorectal prolapse,J579.00,84397.0,Rectal mucosa prolapse,Diagnosis of Anorectal prolapse
