Disease,Readcode,Medcode,ReadcodeDescr,Category
Autism and Asperger's syndrome,E140000,63251.0,Active infantile autism,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,E140100,69016.0,Residual infantile autism,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,E140.00,22098.0,Infantile autism,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,E140.11,43444.0,Kanner's syndrome,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,E140.12,1276.0,Autism,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,E140.13,7302.0,Childhood autism,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,E140z00,36662.0,Infantile autism NOS,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,Eu84000,3637.0,[X]Childhood autism,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,Eu84011,9982.0,[X]Autistic disorder,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,Eu84012,50337.0,[X]Infantile autism,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,Eu84014,110478.0,[X]Kanner's syndrome,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,Eu84100,24044.0,[X]Atypical autism,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,Eu84112,34174.0,[X]Mental retardation with autistic features,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,Eu84500,2950.0,[X]Asperger's syndrome,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,Eu84511,51375.0,[X]Autistic psychopathy,Diagnosis of Autism and Asperger's syndrome
Autism and Asperger's syndrome,Eu84z11,42941.0,[X]Autistic spectrum disorder,Diagnosis of Autism and Asperger's syndrome
