Disease,Readcode,Medcode,ReadcodeDescr,Category
Benign neoplasm of brain and other parts of central nervous system,B7F0000,55419.0,"Benign neoplasm of brain, supratentorial",Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7F0.00,11678.0,Benign neoplasm of brain,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7F0.11,31189.0,Cerebral tumour - benign,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7F1000,6174.0,Acoustic neuroma,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7F1.00,44776.0,Benign neoplasm of cranial nerves,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7F2000,8672.0,Cerebral meningioma,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7F2.00,18200.0,Benign neoplasm of cerebral meninges,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7F2z00,65069.0,Benign neoplasm of cerebral meninges NOS,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7F3.00,31391.0,Benign neoplasm of spinal cord,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7F4000,9544.0,Spinal meningioma,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7F4.00,35095.0,Benign neoplasm of spinal meninges,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7F4z00,94426.0,Benign neoplasm of spinal meninges NOS,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7F..00,27289.0,Benign neoplasm of brain and other parts of nervous system,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7FX.00,37637.0,"Benign neoplasm of meninges, unspecified",Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7Fz.00,60341.0,Benign neoplasm of brain or other nervous system NOS,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7H2000,20267.0,Benign neoplasm of pituitary gland,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7H2100,46829.0,Benign neoplasm of Rathke's pouch,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7H2200,15635.0,Benign neoplasm of sella turcica,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7H2300,55379.0,Benign neoplasm of craniopharyngeal duct,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7H2.00,5706.0,Benign neoplasm of pituitary gland and craniopharyngeal duct,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7H2.11,2321.0,Pituitary adenoma,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7H2z00,71886.0,Benign neoplasm of pituitary and craniopharyngeal duct NOS,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
Benign neoplasm of brain and other parts of central nervous system,B7H3.00,50466.0,Benign neoplasm of pineal gland,Diagnosis of Benign neoplasm of brain and other parts of central nervous system
