"Disease","Read code","Medcode","Descr","Category"
"Cholecystitis","J643000","39025.0","Bile duct calculus + acute cholecystitis and no obstruction","Diagnosis of Cholecystitis"
"Cholecystitis","J643100","31650.0","Bile duct calculus + acute cholecystitis and obstruction","Diagnosis of Cholecystitis"
"Cholecystitis","J643.00","34683.0","Bile duct calculus with acute cholecystitis","Diagnosis of Cholecystitis"
"Cholecystitis","J643z00","96679.0","Bile duct calculus + acute cholecystitis - obstruct NOS","Diagnosis of Cholecystitis"
"Cholecystitis","J644000","107004.0","Bile duct calculus + other cholecystitis and no obstruction","Diagnosis of Cholecystitis"
"Cholecystitis","J644100","44649.0","Bile duct calculus + other cholecystitis and obstruction","Diagnosis of Cholecystitis"
"Cholecystitis","J644.00","26889.0","Bile duct calculus with other cholecystitis","Diagnosis of Cholecystitis"
"Cholecystitis","J644z00","61298.0","Bile duct calculus + other cholecystitis - obstruction NOS","Diagnosis of Cholecystitis"
"Cholecystitis","J650000","44605.0","Acute cholecystitis unspecified","Diagnosis of Cholecystitis"
"Cholecystitis","J650100","72904.0","Acute angiocholecystitis","Diagnosis of Cholecystitis"
"Cholecystitis","J650200","46248.0","Acute emphysematous cholecystitis","Diagnosis of Cholecystitis"
"Cholecystitis","J650300","38289.0","Acute suppurative cholecystitis","Diagnosis of Cholecystitis"
"Cholecystitis","J650400","41018.0","Acute gangrenous cholecystitis","Diagnosis of Cholecystitis"
"Cholecystitis","J650.00","505.0","Acute cholecystitis","Diagnosis of Cholecystitis"
"Cholecystitis","J650.11","44922.0","Abscess of gallbladder","Diagnosis of Cholecystitis"
"Cholecystitis","J650.12","932.0","Empyema of gallbladder","Diagnosis of Cholecystitis"
"Cholecystitis","J650z00","15735.0","Acute cholecystitis NOS","Diagnosis of Cholecystitis"
"Cholecystitis","J651000","7459.0","Chronic cholecystitis","Diagnosis of Cholecystitis"
"Cholecystitis","J651.00","45172.0","Other cholecystitis","Diagnosis of Cholecystitis"
"Cholecystitis","J651y00","63258.0","Other cholecystitis OS","Diagnosis of Cholecystitis"
"Cholecystitis","J651z00","1924.0","Cholecystitis NOS","Diagnosis of Cholecystitis"
"Cholecystitis","Jyu8100","101538.0","[X]Other cholecystitis","Diagnosis of Cholecystitis"
