Disease,Readcode,Medcode,ReadcodeDescr,Category
Non-acute cystitis,K151000,4897.0,Hunner's ulcer,Diagnosis of Non-acute cystitis
Non-acute cystitis,K151200,23776.0,Submucous cystitis,Diagnosis of Non-acute cystitis
Non-acute cystitis,K151.00,11585.0,Chronic interstitial cystitis,Diagnosis of Non-acute cystitis
Non-acute cystitis,K151z00,29460.0,Chronic interstitial cystitis NOS,Diagnosis of Non-acute cystitis
Non-acute cystitis,K152000,30068.0,Subacute cystitis,Diagnosis of Non-acute cystitis
Non-acute cystitis,K152.00,32787.0,Other chronic cystitis,Diagnosis of Non-acute cystitis
Non-acute cystitis,K152y00,3469.0,Chronic cystitis unspecified,Diagnosis of Non-acute cystitis
Non-acute cystitis,K152z00,11315.0,Other chronic cystitis NOS,Diagnosis of Non-acute cystitis
Non-acute cystitis,K153.11,11447.0,Follicular cystitis,Diagnosis of Non-acute cystitis
Non-acute cystitis,K15y000,22682.0,Cystitis cystica,Diagnosis of Non-acute cystitis
Non-acute cystitis,Kyu5000,72686.0,[X]Other chronic cystitis,Diagnosis of Non-acute cystitis
