Disease,Readcode,Medcode,ReadcodeDescr,Category
"Liver fibrosis, sclerosis and cirrhosis",C310400,19512.0,Glycogenosis with hepatic cirrhosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",C350012,8206.0,Pigmentary cirrhosis of liver,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",C370800,102922.0,Cystic fibrosis related cirrhosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",G852200,26319.0,Oesophageal varices in cirrhosis of the liver,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",G852300,8363.0,Oesophageal varices in alcoholic cirrhosis of the liver,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",J612000,21713.0,Alcoholic fibrosis and sclerosis of liver,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",J612.00,4743.0,Alcoholic cirrhosis of liver,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",J612.11,68376.0,Florid cirrhosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",J612.12,100474.0,Laennec's cirrhosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",J613000,17330.0,Alcoholic hepatic failure,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",J613.00,7885.0,Alcoholic liver damage unspecified,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",J615100,69204.0,Multilobular portal cirrhosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
"Liver fibrosis, sclerosis and cirrhosis",J615300,3450.0,Diffuse nodular cirrhosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis"
