Disease,Readcode,Medcode,ReadcodeDescr,Category
Coeliac disease,6648000.0,102617.0,Coeliac disease annual review,History of Coeliac disease
Coeliac disease,6648.00,102315.0,Coeliac disease monitoring,History of Coeliac disease
Coeliac disease,8IAp.00,103379.0,Coeliac disease annual review declined,History of Coeliac disease
Coeliac disease,9mB1.00,106326.0,Coeliac disease monitoring invitation first letter,History of Coeliac disease
Coeliac disease,9mB..00,106282.0,Coeliac disease monitoring invitation,History of Coeliac disease
Coeliac disease,J690000,62397.0,Congenital coeliac disease,Diagnosis of Coeliac disease
Coeliac disease,J690100,63195.0,Acquired coeliac disease,Diagnosis of Coeliac disease
Coeliac disease,J690.00,1515.0,Coeliac disease,Diagnosis of Coeliac disease
Coeliac disease,J690.11,68680.0,Coeliac rickets,Diagnosis of Coeliac disease
Coeliac disease,J690.12,57966.0,Gee - Herter disease,Diagnosis of Coeliac disease
Coeliac disease,J690.13,3509.0,Gluten enteropathy,Diagnosis of Coeliac disease
Coeliac disease,J690.14,16365.0,Sprue - nontropical,Diagnosis of Coeliac disease
Coeliac disease,J690.15,4787.0,Steatorrhea - idiopathic,Diagnosis of Coeliac disease
Coeliac disease,J690z00,44310.0,Coeliac disease NOS,Diagnosis of Coeliac disease
Coeliac disease,ZC2C200,45925.0,Dietary advice for coeliac disease,Diagnosis of Coeliac disease
