Disease,Readcode,Medcode,ReadcodeDescr,Category
Congenital malformations of cardiac septa,14AV.00,99786.0,History of ventricular septal defect,History of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,2126800.0,104307.0,Ostium secundum atrial septal defect resolved,History of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,24M..00,104345.0,Spontaneous closure of ventricular septal defect,History of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7902000.0,16538.0,Correct Fallot tetralogy- valved right ventr outflow conduit,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7902100.0,73029.0,Correct Fallot tetralogy- right ventric outflow conduit NEC,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7902200.0,99198.0,Correct Fallot tetralogy- right ventricular outflow patch,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7902300.0,70857.0,Revision of correction of tetralogy of Fallot,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7902400.0,88842.0,Repair of tetralogy of Fallot using transannular patch,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7902500.0,88479.0,Repair of tetralogy of Fallot with absent pulmonary valve,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7902600.0,93719.0,Repair Fallot-type pulmonary atresia aortopulmonary collater,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7902.00,5477.0,Correction of tetralogy of Fallot,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7902.11,12844.0,Repair of tetralogy of Fallot,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7902y00,65401.0,Other specified correction of tetralogy of Fallot,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7902z00,19956.0,Correction of tetralogy of Fallot NOS,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7902z11,108402.0,Repair of tetralogy of Fallot NOS,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7906300.0,42181.0,Closure of persistent ostium primum,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7906311.0,99346.0,Repair of persistent ostium primum,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7908500.0,94023.0,Closure of multiple interventricular septal defects,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7908511.0,98273.0,Repair of multiple interventricular septal defects,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7908600.0,65234.0,Closure interventricular septal defect us intraop trans pros,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,7908611.0,92020.0,Repair interventricular septal defect us intraop trans pros,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,790K100,107122.0,Repair of Fallot-type double outlet right ventricle,Procedure for Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P500.00,72604.0,Absent septum between aorta and pulmonary artery,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P511300,40025.0,Taussig-Bing syndrome,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P520.00,38967.0,"Tetralogy of Fallot, unspecified",Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P520.11,23692.0,Ventricular septal defect in Fallot's tetralogy,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P520.12,71252.0,Dextraposition of aorta in Fallot's tetralogy,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P521.00,51649.0,Pentalogy of Fallot,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P52..00,4864.0,Tetralogy of Fallot,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P52z.00,63046.0,Tetralogy of Fallot NOS,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P53..00,19969.0,Common ventricle,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P540.00,42132.0,"Ventricular septal defect, unspecified",Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P541.00,56575.0,Interventricular septal defect,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P542.00,67657.0,Left ventricle to right atrial communication,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P543.00,9011.0,Eisenmenger's complex,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P544.00,51897.0,Gerbode's defect,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P545.00,20153.0,Roger's disease,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P54..00,246.0,Ventricular septal defect,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P54y.00,54772.0,Other specified ventricular septal defect,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P54z.00,34067.0,Ventricular septal defect NOS,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P550.00,3255.0,Atrial septal defect NOS,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P550.11,40673.0,Auricular septal defect NOS,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P550.12,28174.0,Interatrial septal defect NEC,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P550.13,72577.0,Interauricular septal defect,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P551.00,3625.0,Patent foramen ovale,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P552.00,37816.0,Persistent ostium secundum,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P552.11,109853.0,Patent ostium secundum,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P553.00,59144.0,Lutembacher's syndrome,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P55..00,7474.0,Ostium secundum atrial septal defect,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P55y.00,53088.0,Other specified ostium secundum atrial septal defect,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P55y.11,18395.0,Other specified atrial septal defect,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P55z.00,54243.0,Ostium secundum atrial septal defect NOS,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P561.00,51053.0,Ostium primum defect,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P561.11,93161.0,Persistent ostium primum,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P56..00,63340.0,Endocardial cushion defects,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P56y.00,101393.0,Other specified endocardial cushion defects,Diagnosis of Congenital malformations of cardiac septa
Congenital malformations of cardiac septa,P56z000,55535.0,Common atrium,Diagnosis of Congenital malformations of cardiac septa
