"Disease","Read code","Medcode","Descr","Category"
"Delirium, not induced by alcohol and other psychoactive substances","2233.00","5367.0","O/E - delirious","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E001100","49513.0","Presenile dementia with delirium","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E003.00","37015.0","Senile dementia with delirium","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E004100","56912.0","Arteriosclerotic dementia with delirium","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E030000","25051.0","Acute confusional state, post traumatic","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E030100","50683.0","Acute confusional state, of infective origin","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E030200","94079.0","Acute confusional state, of endocrine origin","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E030300","70409.0","Acute confusional state, of metabolic origin","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E030400","25114.0","Acute confusional state, of cerebrovascular origin","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E030.00","4033.0","Acute confusional state","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E030.11","22466.0","Delirium - acute organic","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E031000","61238.0","Subacute confusional state, post traumatic","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E031100","69359.0","Subacute confusional state, of infective origin","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E031300","38671.0","Subacute confusional state, of metabolic origin","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E031400","24035.0","Subacute confusional state, of cerebrovascular origin","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E031.00","17021.0","Subacute confusional state","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E031.11","24077.0","Delirium - subacute organic","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","E031z00","55784.0","Subacute confusional state NOS","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","Eu04000","68125.0","[X]Delirium not superimposed on dementia, so described","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","Eu04100","53446.0","[X]Delirium superimposed on dementia","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","Eu04.00","25066.0","[X]Delirium, not induced by alcohol+other psychoactive subs","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","Eu04.11","39337.0","[X]Acute / subacute brain syndrome","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","Eu04.12","7389.0","[X]Acute / subacute confusional state, nonalcoholic","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","Eu04.13","24387.0","[X]Acute / subacute infective psychosis","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","Eu04.14","21933.0","[X]Acute / subacute organic reaction","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","Eu04.15","22065.0","[X]Acute / subacute psycho-organic reaction","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","Eu04y00","52394.0","[X]Other delirium","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
"Delirium, not induced by alcohol and other psychoactive substances","Eu04z00","53924.0","[X]Delirium, unspecified","Diagnosis of Delirium, not induced by alcohol and other psychoactive substances"
