Disease,Readcode,Medcode,ReadcodeDescr,Category
Dermatitis (atopc/contact/other/unspecified),14F1.00,2859.0,H/O: eczema,History of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),26C4.00,10920.0,Nipple eczema,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),3355.00,619.0,Skin:type 1 immediate reaction,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),C391211,42439.0,Thrombocytopenic eczema with immunodeficiency,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),F4D3000,29779.0,Eczematous eyelid dermatitis,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),F4D3100,16832.0,Contact or allergic eyelid dermatitis,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),F4D3111,16685.0,Allergic dermatitis - eyelid,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),F4D3112,15879.0,Contact eczema - eyelids,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),F4D4.00,63904.0,Infective eyelid dermatitis of types resulting in deformity,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),F4D5.00,53384.0,Other eyelid infective dermatitis,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),F502400,10254.0,Acute eczematoid otitis extern,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),F502411,6218.0,Eczema of external ear,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),H330.00,7146.0,Extrinsic (atopic) asthma,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),M07y.11,15372.0,Pustular eczema,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),M07z.14,986.0,Infected dermatitis,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),M102.00,6728.0,Infectious eczematoid dermatitis,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),M102.11,5000.0,Pustular eczema,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),M104.00,9652.0,Pityriasis simplex,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),M11..00,13223.0,Atopic dermatitis and related conditions,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),M111.00,1741.0,Atopic dermatitis/eczema,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),M1...11,6396.0,Dermatitis/dermatoses,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),M112.00,610.0,Infantile eczema,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),M113.00,1240.0,Flexural eczema,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),M114.00,5869.0,Allergic (intrinsic) eczema,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
Dermatitis (atopc/contact/other/unspecified),M115.00,38673.0,Besnier's prurigo,Diagnosis of Dermatitis (atopc/contact/other/unspecified)
