"Disease","Read code","Medcode","Descr","Category"
"Fibromatoses","7H32000","10554.0","Palmar fasciectomy unspecified","Procedure for Fibromatoses"
"Fibromatoses","7H32011","1629.0","Dupuytren hand fasciectomy","Procedure for Fibromatoses"
"Fibromatoses","7H32013","66133.0","McIndoe radical palmar fasciectomy","Procedure for Fibromatoses"
"Fibromatoses","7H32100","43740.0","Revision of palmar fasciectomy","Procedure for Fibromatoses"
"Fibromatoses","7H32400","48701.0","Limited palmar fasciectomy","Procedure for Fibromatoses"
"Fibromatoses","7H32500","41575.0","Radical palmar fasciectomy","Procedure for Fibromatoses"
"Fibromatoses","7H32700","39485.0","Palmar fasciectomy using open palm technique","Procedure for Fibromatoses"
"Fibromatoses","7H34000","4371.0","Division of palmar fascia","Procedure for Fibromatoses"
"Fibromatoses","7H34011","54835.0","Division of hand fascia","Procedure for Fibromatoses"
"Fibromatoses","7H34012","8360.0","Dupuytren hand fasciotomy","Procedure for Fibromatoses"
"Fibromatoses","7H34300","102499.0","Needle fasciotomy of hand","Procedure for Fibromatoses"
"Fibromatoses","7H35700","37325.0","Fasciotomy hand","Procedure for Fibromatoses"
"Fibromatoses","N236000","22546.0","Dupuytren's disease of palm","Diagnosis of Fibromatoses"
"Fibromatoses","N236100","10142.0","Dupuytren's disease of palm, nodules with no contracture","Diagnosis of Fibromatoses"
"Fibromatoses","N236200","44504.0","Dupuytren's disease of palm, with contracture","Diagnosis of Fibromatoses"
"Fibromatoses","N236300","11899.0","Dupuytren's disease of finger(s)","Diagnosis of Fibromatoses"
"Fibromatoses","N236400","50915.0","Dupuytren's disease - finger(s), nodules with no contracture","Diagnosis of Fibromatoses"
"Fibromatoses","N236500","28831.0","Dupuytren's disease of finger(s), with contracture","Diagnosis of Fibromatoses"
"Fibromatoses","N236600","26216.0","Dupuytren's disease of palm and finger(s)","Diagnosis of Fibromatoses"
"Fibromatoses","N236700","25701.0","Dupuytren's dis, palm and finger(s), nodules, no contracture","Diagnosis of Fibromatoses"
"Fibromatoses","N236800","44537.0","Dupuytren's disease of palm and finger(s), with contracture","Diagnosis of Fibromatoses"
"Fibromatoses","N236.00","743.0","Dupuytren's contracture","Diagnosis of Fibromatoses"
"Fibromatoses","N236.11","53902.0","Palmar fascia contracture","Diagnosis of Fibromatoses"
"Fibromatoses","N237100","21080.0","Knuckle pads","Diagnosis of Fibromatoses"
