Disease,Read code,Medcode,Descr,Category
Abdominal Hernia,14C3.00,5275,H/O: abdominal hernia,History of Abdominal Hernia
Abdominal Hernia,25P2.00,29341,O/E - reducible hernia,Diagnosis of Abdominal Hernia
Abdominal Hernia,25P..12,1559,O/E - hernia,Diagnosis of Abdominal Hernia
Abdominal Hernia,25P3.00,29847,O/E - irreducible hernia,Diagnosis of Abdominal Hernia
Abdominal Hernia,25P4.00,31216,O/E - strangulated hernia,Diagnosis of Abdominal Hernia
Abdominal Hernia,25P5.00,29693,O/E-hernia-cough impulse shown,Diagnosis of Abdominal Hernia
Abdominal Hernia,25P6.00,52808,O/E-hernia descends to scrotum,Diagnosis of Abdominal Hernia
Abdominal Hernia,7H10.00,17898,Simple excision of inguinal hernial sac,Procedure for Abdominal Hernia
Abdominal Hernia,7H10y00,59925,Other specified simple excision of inguinal hernial sac,Procedure for Abdominal Hernia
Abdominal Hernia,7H10z00,35236,Simple excision of inguinal hernial sac NOS,Procedure for Abdominal Hernia
Abdominal Hernia,7H11000,45687,Primary repair inguinal hernia using insert natural material,Procedure for Abdominal Hernia
Abdominal Hernia,7H11100,33485,Prim repair inguinal hernia using insert prosthet material,Procedure for Abdominal Hernia
Abdominal Hernia,7H11111,10139,Primary mesh repair of inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H11200,14670,Primary repair of inguinal hernia using sutures,Procedure for Abdominal Hernia
Abdominal Hernia,7H11211,34915,Bassini repair of inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H11212,94065,Ferguson repair of inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H11213,99143,McVay repair of inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H11214,36963,Shouldice repair of inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H11300,19219,Primary repair inguinal hernia & reduction of sliding hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H11400,33743,Endoscopic primary repair of inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H11500,9949,Bilateral inguinal hernia repair,Procedure for Abdominal Hernia
Abdominal Hernia,7H11600,19397,Primary laparoscopic repair of inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H11.00,3742,Primary repair of inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H11y00,29442,Other specified primary repair of inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H11y11,69455,Halsted repair of inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H11z00,652,Primary repair of inguinal hernia NOS,Procedure for Abdominal Hernia
Abdominal Hernia,7H12000,64977,Repair recurr inguinal hernia using insert natural material,Procedure for Abdominal Hernia
Abdominal Hernia,7H12100,41524,Repair recurr inguinal hernia using insert prosthet material,Procedure for Abdominal Hernia
Abdominal Hernia,7H12200,24982,Repair of recurrent inguinal hernia using sutures,Procedure for Abdominal Hernia
Abdominal Hernia,7H12300,62486,Removal prosthet material fr previous repair inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H12.00,3200,Repair of recurrent inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H12.11,28558,Herniorrhaphy for recurrent inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H12y00,42716,Other specified repair of recurrent inguinal hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H12z00,3367,Repair of recurrent inguinal hernia NOS,Procedure for Abdominal Hernia
Abdominal Hernia,7H13000,57942,Primary repair femoral hernia using insert natural material,Procedure for Abdominal Hernia
Abdominal Hernia,7H13100,56522,Primary repair femoral hernia using insert prosthet material,Procedure for Abdominal Hernia
Abdominal Hernia,7H13200,56506,Primary repair of femoral hernia using sutures,Procedure for Abdominal Hernia
Abdominal Hernia,7H13211,53447,Cheadle repair of femoral hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H13212,68086,Henry repair of femoral hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H13213,53794,Lockwood repair of femoral hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H13214,59850,Lotheissen repair of femoral hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H13215,68045,McEvedy repair of femoral hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H13300,56519,Endoscopic primary repair of femoral hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H13.00,5870,Primary repair of femoral hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H13.11,10301,Femoral hernia repair NEC,Procedure for Abdominal Hernia
Abdominal Hernia,7H13y00,34987,Other specified primary repair of femoral hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H13z00,268,Primary repair of femoral hernia NOS,Procedure for Abdominal Hernia
Abdominal Hernia,7H14100,94896,Repair recurr femoral hernia using insert prosthet material,Procedure for Abdominal Hernia
Abdominal Hernia,7H14200,71835,Repair of recurrent femoral hernia using sutures,Procedure for Abdominal Hernia
Abdominal Hernia,7H14300,67276,Removal prosthet material fr previous repair femoral hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H14.00,28944,Repair of recurrent femoral hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H14.11,42741,Herniorrhaphy for recurrent femoral hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H14y00,70402,Other specified repair of recurrent femoral hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H14z00,15680,Repair of recurrent femoral hernia NOS,Procedure for Abdominal Hernia
Abdominal Hernia,7H15000,45678,Repair of umbilical hernia using insert of natural material,Procedure for Abdominal Hernia
Abdominal Hernia,7H15100,33696,Repair umbilical hernia using insert of prosthetic material,Procedure for Abdominal Hernia
Abdominal Hernia,7H15200,31396,Repair of umbilical hernia using sutures,Procedure for Abdominal Hernia
Abdominal Hernia,7H15300,67309,Remov prosthet material fr previous repair umbilical hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H15.00,611,Repair of umbilical hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H15y00,40679,Other specified repair of umbilical hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H15z00,15050,Repair of umbilical hernia NOS,Procedure for Abdominal Hernia
Abdominal Hernia,7H16000,72057,Prim repair incisional hernia using insert natural material,Procedure for Abdominal Hernia
Abdominal Hernia,7H16100,41509,Prim repair incisional hernia using insert prosthet material,Procedure for Abdominal Hernia
Abdominal Hernia,7H16111,11206,Primary mesh repair of incisional hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H16200,41790,Primary repair of incisional hernia using sutures,Procedure for Abdominal Hernia
Abdominal Hernia,7H16.00,7679,Primary repair of incisional hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H16y00,42143,Other specified primary repair of incisional hernia,Procedure for Abdominal Hernia
Abdominal Hernia,7H16z00,3534,Primary repair of incisional hernia NOS,Procedure for Abdominal Hernia
