Disease,Readcode,Medcode,ReadcodeDescr,Category
Intellectual disability,918e.00,22760.0,On learning disability register,History of Intellectual disability
Intellectual disability,94Z9.00,108881.0,Preferred place of death: learning disability unit,History of Intellectual disability
Intellectual disability,9HB0.00,43447.0,Learning disabilities health action plan declined,History of Intellectual disability
Intellectual disability,9HB1.00,41391.0,Learning disabilities health action plan offered,History of Intellectual disability
Intellectual disability,9HB2.00,43445.0,Learning disabilities health action plan reviewed,History of Intellectual disability
Intellectual disability,9HB3.00,32511.0,Learning disabilities health assessment,History of Intellectual disability
Intellectual disability,9HB4.00,43436.0,Learning disabilities health action plan completed,History of Intellectual disability
Intellectual disability,9HB5.00,32952.0,Learning disabilities annual health assessment,History of Intellectual disability
Intellectual disability,9HB6.00,100730.0,Learning disabilities annual health assessment declined,History of Intellectual disability
Intellectual disability,9HB6.11,100965.0,Learning disabilities annual health check declined,History of Intellectual disability
Intellectual disability,9HB7.00,100729.0,Did not attend learning disabilities annual health assessmnt,History of Intellectual disability
Intellectual disability,9HB7.11,102234.0,Did not attend learning disabilities annual health check,History of Intellectual disability
Intellectual disability,9HB..00,19445.0,Learning disabilities administration status,History of Intellectual disability
Intellectual disability,9mA0.00,106249.0,Learning disability annual health check verbal invitation,History of Intellectual disability
Intellectual disability,9mA1.00,106248.0,Learning disability annual health check telephone invitation,History of Intellectual disability
Intellectual disability,9mA2000,106272.0,Learning disability annual health check invtation 1st letter,History of Intellectual disability
Intellectual disability,9mA2100,106274.0,Learning disability annual health check invtation 2nd letter,History of Intellectual disability
Intellectual disability,9mA2200,106276.0,Learning disability annual health check invtation 3rd letter,History of Intellectual disability
Intellectual disability,9mA2.00,106247.0,Learning disability annual health check letter invitation,History of Intellectual disability
Intellectual disability,9mA..00,106219.0,Learning disability annual health check invitation,History of Intellectual disability
Intellectual disability,E2F2.00,4672.0,Other specific learning difficulty,Diagnosis of Intellectual disability
Intellectual disability,E30..00,1787.0,"Mild mental retardation, IQ in range 50-70",Diagnosis of Intellectual disability
Intellectual disability,E30..11,1680.0,Educationally subnormal,Diagnosis of Intellectual disability
Intellectual disability,E30..12,51954.0,Feeble-minded,Diagnosis of Intellectual disability
Intellectual disability,E30..13,71632.0,Moron,Diagnosis of Intellectual disability
Intellectual disability,E310.00,302.0,"Moderate mental retardation, IQ in range 35-49",Diagnosis of Intellectual disability
Intellectual disability,E310.11,1278.0,Imbecile,Diagnosis of Intellectual disability
Intellectual disability,E311.00,4825.0,"Severe mental retardation, IQ in range 20-34",Diagnosis of Intellectual disability
Intellectual disability,E312.00,45133.0,Profound mental retardation with IQ less than 20,Diagnosis of Intellectual disability
Intellectual disability,E312.11,51622.0,Idiocy,Diagnosis of Intellectual disability
Intellectual disability,E31..00,56577.0,Other specified mental retardation,Diagnosis of Intellectual disability
Intellectual disability,E31z.00,54179.0,Other specified mental retardation NOS,Diagnosis of Intellectual disability
Intellectual disability,E3...00,1362.0,Mental retardation,Diagnosis of Intellectual disability
Intellectual disability,E3y..00,57199.0,Other specified mental retardation,Diagnosis of Intellectual disability
Intellectual disability,E3z..00,37867.0,Mental retardation NOS,Diagnosis of Intellectual disability
Intellectual disability,Eu70000,46504.0,[X]Mld mental retard with statement no or min impairm behav,Diagnosis of Intellectual disability
Intellectual disability,Eu70100,39412.0,[X]Mld mental retard sig impairment behav req attent/treatmt,Diagnosis of Intellectual disability
Intellectual disability,Eu70.00,28740.0,[X]Mild mental retardation,Diagnosis of Intellectual disability
Intellectual disability,Eu70.12,33949.0,[X]Mild mental subnormality,Diagnosis of Intellectual disability
Intellectual disability,Eu70y00,39016.0,"[X]Mild mental retardation, other impairments of behaviour",Diagnosis of Intellectual disability
Intellectual disability,Eu70z00,50606.0,[X]Mild mental retardation without mention impairment behav,Diagnosis of Intellectual disability
Intellectual disability,Eu71000,60913.0,[X]Mod mental retard with statement no or min impairm behav,Diagnosis of Intellectual disability
Intellectual disability,Eu71100,54881.0,[X]Mod mental retard sig impairment behav req attent/treatmt,Diagnosis of Intellectual disability
Intellectual disability,Eu71.00,6123.0,[X]Moderate mental retardation,Diagnosis of Intellectual disability
Intellectual disability,Eu71.11,34734.0,[X]Moderate mental subnormality,Diagnosis of Intellectual disability
Intellectual disability,Eu71y00,59407.0,[X]Mod retard oth behav impair,Diagnosis of Intellectual disability
Intellectual disability,Eu71z00,60473.0,[X]Mod mental retardation without mention impairment behav,Diagnosis of Intellectual disability
Intellectual disability,Eu72000,50947.0,[X]Sev mental retard with statement no or min impairm behav,Diagnosis of Intellectual disability
Intellectual disability,Eu72100,50751.0,[X]Sev mental retard sig impairment behav req attent/treatmt,Diagnosis of Intellectual disability
Intellectual disability,Eu72.00,36143.0,[X]Severe mental retardation,Diagnosis of Intellectual disability
Intellectual disability,Eu72.11,27691.0,[X]Severe mental subnormality,Diagnosis of Intellectual disability
Intellectual disability,Eu72y00,55848.0,"[X]Severe mental retardation, other impairments of behaviour",Diagnosis of Intellectual disability
Intellectual disability,Eu72z00,55560.0,[X]Sev mental retardation without mention impairment behav,Diagnosis of Intellectual disability
Intellectual disability,Eu73000,70102.0,[X]Profound ment retrd wth statement no or min impairm behav,Diagnosis of Intellectual disability
Intellectual disability,Eu73100,98100.0,[X]Profound ment retard sig impairmnt behav req attent/treat,Diagnosis of Intellectual disability
Intellectual disability,Eu73.00,51268.0,[X]Profound mental retardation,Diagnosis of Intellectual disability
Intellectual disability,Eu73.11,65468.0,[X]Profound mental subnormality,Diagnosis of Intellectual disability
Intellectual disability,Eu73y00,90276.0,"[X]Profound mental retardation, other impairments of behavr",Diagnosis of Intellectual disability
Intellectual disability,Eu73z00,60062.0,[X]Prfnd mental retardation without mention impairment behav,Diagnosis of Intellectual disability
Intellectual disability,Eu7..00,28962.0,[X]Mental retardation,Diagnosis of Intellectual disability
Intellectual disability,Eu7y000,70008.0,[X]Oth mental retard with statement no or min impairm behav,Diagnosis of Intellectual disability
Intellectual disability,Eu7y100,56547.0,[X]Oth mental retard sig impairment behav req attent/treatmt,Diagnosis of Intellectual disability
Intellectual disability,Eu7y.00,71196.0,[X]Other mental retardation,Diagnosis of Intellectual disability
Intellectual disability,Eu7yy00,42520.0,"[X]Other mental retardation, other impairments of behaviour",Diagnosis of Intellectual disability
Intellectual disability,Eu7yz00,63273.0,[X]Other mental retardation without mention impairment behav,Diagnosis of Intellectual disability
Intellectual disability,Eu7z000,42886.0,[X]Unsp mental retard with statement no or min impairm behav,Diagnosis of Intellectual disability
Intellectual disability,Eu7z100,66783.0,[X]Unsp mentl retard sig impairment behav req attent/treatmt,Diagnosis of Intellectual disability
Intellectual disability,Eu7z.00,42589.0,[X]Unspecified mental retardation,Diagnosis of Intellectual disability
Intellectual disability,Eu7z.11,37887.0,[X]Mental deficiency NOS,Diagnosis of Intellectual disability
Intellectual disability,Eu7z.12,37911.0,[X]Mental subnormality NOS,Diagnosis of Intellectual disability
Intellectual disability,Eu7zy00,66383.0,"[X]Unspecified mental retardatn, other impairments of behav",Diagnosis of Intellectual disability
Intellectual disability,Eu7zz00,32820.0,[X]Unsp mental retardation without mention impairment behav,Diagnosis of Intellectual disability
Intellectual disability,Eu81400,98342.0,[X]Moderate learning disability,Diagnosis of Intellectual disability
Intellectual disability,Eu81500,98293.0,[X]Severe learning disability,Diagnosis of Intellectual disability
Intellectual disability,Eu81600,99774.0,[X]Mild learning disability,Diagnosis of Intellectual disability
Intellectual disability,Eu81700,100648.0,[X]Profound learning disability,Diagnosis of Intellectual disability
Intellectual disability,Eu81800,107968.0,[X]Specific learning disability,Diagnosis of Intellectual disability
Intellectual disability,Eu81z00,6516.0,"[X]Developmental disorder of scholastic skills, unspecified",Diagnosis of Intellectual disability
Intellectual disability,Eu81z11,4477.0,[X]Learning disability NOS,Diagnosis of Intellectual disability
Intellectual disability,Eu81z12,16855.0,[X]Learning disorder NOS,Diagnosis of Intellectual disability
Intellectual disability,Eu81z13,36045.0,[X]Learn acquisition disab NOS,Diagnosis of Intellectual disability
Intellectual disability,Eu84112,34174.0,[X]Mental retardation with autistic features,Diagnosis of Intellectual disability
Intellectual disability,Eu84400,52602.0,[X]Overactive disorder assoc mental retard/stereotype movts,Diagnosis of Intellectual disability
