Disease,Readcode,Medcode,ReadcodeDescr,Category
Keratitis,A173200,55629.0,Tuberculous interstitial keratitis,Diagnosis of keratitis
Keratitis,A173400,30358.0,Tuberculous keratoconjunctivitis,Diagnosis of keratitis
Keratitis,A532100,27546.0,Herpes zoster with keratoconjunctivitis,Diagnosis of keratitis
Keratitis,A544200,10408.0,Herpes simplex dendritic keratitis,Diagnosis of keratitis
Keratitis,A544300,1082.0,Herpes simplex disciform keratitis,Diagnosis of keratitis
Keratitis,A55x000,90575.0,Measles keratoconjunctivitis,Diagnosis of keratitis
Keratitis,A771.00,35865.0,Epidemic keratoconjunctivitis,Diagnosis of keratitis
Keratitis,A776.00,11319.0,Keratoconjunctivitis due to adenovirus,Diagnosis of keratitis
Keratitis,A903.00,50273.0,Syphilitic interstitial keratitis,Diagnosis of keratitis
Keratitis,A984300,72172.0,Gonococcal keratitis,Diagnosis of keratitis
Keratitis,AD67000,29763.0,Acanthamoeba keratitis,Diagnosis of keratitis
Keratitis,F4A1.00,27749.0,Dendritic keratitis,Diagnosis of keratitis
Keratitis,F4A2000,56042.0,Unspecified superficial keratitis,Diagnosis of keratitis
Keratitis,F4A2100,5176.0,Punctate keratitis,Diagnosis of keratitis
Keratitis,F4A2112,6749.0,Thygeson's superficial punctate keratitis,Diagnosis of keratitis
Keratitis,F4A2200,40792.0,Nummular keratitis,Diagnosis of keratitis
Keratitis,F4A2300,45168.0,Striate keratitis,Diagnosis of keratitis
Keratitis,F4A2400,45610.0,Macular keratitis NOS,Diagnosis of keratitis
Keratitis,F4A2500,27900.0,Filamentary keratitis,Diagnosis of keratitis
Keratitis,F4A2.00,27545.0,Other superficial keratitis without conjunctivitis,Diagnosis of keratitis
Keratitis,F4A2z00,20305.0,Other superficial keratitis without conjunctivitis NOS,Diagnosis of keratitis
Keratitis,F4A3000,16413.0,Phlyctenular keratoconjunctivitis,Diagnosis of keratitis
Keratitis,F4A3300,9279.0,Exposure keratoconjunctivitis,Diagnosis of keratitis
Keratitis,F4A3400,49802.0,Neurotrophic keratoconjunctivitis,Diagnosis of keratitis
Keratitis,F4A3.00,24948.0,Specific keratoconjunctivitis,Diagnosis of keratitis
Keratitis,F4A3z00,44620.0,Specific keratoconjunctivitis NOS,Diagnosis of keratitis
Keratitis,F4A4000,3581.0,Unspecified keratoconjunctivitis,Diagnosis of keratitis
Keratitis,F4A4100,94899.0,Keratitis or keratoconjunctivitis in other exanthemata,Diagnosis of keratitis
Keratitis,F4A4.00,44027.0,Other keratoconjunctivitis,Diagnosis of keratitis
Keratitis,F4A4z00,15686.0,Other keratoconjunctivitis NOS,Diagnosis of keratitis
Keratitis,F4A5000,7287.0,Unspecified interstitial keratitis,Diagnosis of keratitis
Keratitis,F4A5100,53785.0,Diffuse interstitial keratitis,Diagnosis of keratitis
Keratitis,F4A5200,20491.0,Sclerosing keratitis,Diagnosis of keratitis
Keratitis,F4A5400,48197.0,Keratitis due to syphilis,Diagnosis of keratitis
Keratitis,F4A5500,94249.0,Keratitis due to tuberculosis,Diagnosis of keratitis
Keratitis,F4A5.00,39445.0,Interstitial and deep keratitis,Diagnosis of keratitis
Keratitis,F4A5z00,107617.0,Interstitial and deep keratitis NOS,Diagnosis of keratitis
Keratitis,F4A..00,515.0,Keratitis,Diagnosis of keratitis
Keratitis,F4A..11,12131.0,Keratoconjunctivitis,Diagnosis of keratitis
Keratitis,F4Ay.00,35193.0,Other forms of keratitis,Diagnosis of keratitis
Keratitis,F4Az.00,27797.0,Keratitis NOS,Diagnosis of keratitis
Keratitis,FyuD100,72913.0,[X]Other superficial keratitis without conjunctivitis,Diagnosis of keratitis
Keratitis,FyuD200,72393.0,[X]Other keratitis,Diagnosis of keratitis
Keratitis,FyuDA00,101578.0,[X]Keratitis+keratoconjunctivitis in other diseases CE,Diagnosis of keratitis
