Disease,Readcode,Medcode,ReadcodeDescr,Category
Macular degeneration,2BBH.00,8518.0,Retinal drusen,Diagnosis of macular degeneration
Macular degeneration,F424200,52090.0,Retinal pigment epithelium serous detachment,Diagnosis of macular degeneration
Macular degeneration,F424300,69892.0,Retinal pigment epithelium haemorrhagic detachment,Diagnosis of macular degeneration
Macular degeneration,F424400,99525.0,Retinal pigment epithelial detachment,Diagnosis of macular degeneration
Macular degeneration,F425000,2762.0,Unspecified senile macular degeneration,Diagnosis of macular degeneration
Macular degeneration,F425100,10343.0,Dry senile macular degeneration,Diagnosis of macular degeneration
Macular degeneration,F425200,26205.0,Wet senile macular degeneration,Diagnosis of macular degeneration
Macular degeneration,F425211,71225.0,Kuhnt - Junius degeneration,Diagnosis of macular degeneration
Macular degeneration,F425700,4424.0,Drusen,Diagnosis of macular degeneration
Macular degeneration,F425.00,118.0,Degeneration of macula and posterior pole,Diagnosis of macular degeneration
Macular degeneration,F425.11,6350.0,Senile macular degeneration,Diagnosis of macular degeneration
Macular degeneration,F425z00,1753.0,Degeneration of macula or posterior pole NOS,Diagnosis of macular degeneration
