Disease,Readcode,Medcode,ReadcodeDescr,Category
Myocardial infarction,14A3.00,35674,H/O: myocardial infarct <60,History of MI (1)
Myocardial infarction,14A4.00,40399,H/O: myocardial infarct >60,History of MI (1)
Myocardial infarction,14AH.00,50372,H/O: Myocardial infarction in last year,History of MI (1)
Myocardial infarction,G310.00,23579,Postmyocardial infarction syndrome,History of MI (1)
Myocardial infarction,G32..00,4017,Old myocardial infarction,History of MI (1)
Myocardial infarction,G32..11,16408,Healed myocardial infarction,History of MI (1)
Myocardial infarction,G32..12,17464,Personal history of myocardial infarction,History of MI (1)
Myocardial infarction,G33z500,9555,Post infarct angina,History of MI (1)
Myocardial infarction,G30..11,13566,Attack - heart,Possible MI or uncertain date (2)
Myocardial infarction,G30..14,1204,Heart attack,Possible MI or uncertain date (2)
Myocardial infarction,G30..17,17689,Silent myocardial infarction,Possible MI or uncertain date (2)
Myocardial infarction,G30A.00,17133,Mural thrombosis,Possible MI or uncertain date (2)
Myocardial infarction,G30X000,12229,Acute ST segment elevation myocardial infarction,STEMI (3)
Myocardial infarction,G307100,10562,Acute non-ST segment elevation myocardial infarction,NSTEMI (4)
Myocardial infarction,323..00,7783,ECG: myocardial infarction,Acute MI not further specified (5)
Myocardial infarction,3233,26975,ECG: antero-septal infarct.,Acute MI not further specified (5)
Myocardial infarction,3234,26972,ECG:posterior/inferior infarct,Acute MI not further specified (5)
Myocardial infarction,3235,55401,ECG: subendocardial infarct,Acute MI not further specified (5)
Myocardial infarction,3236,52705,ECG: lateral infarction,Acute MI not further specified (5)
Myocardial infarction,323Z.00,59032,ECG: myocardial infarct NOS,Acute MI not further specified (5)
Myocardial infarction,889A.00,61670,Diab mellit insulin-glucose infus acute myocardial infarct,Acute MI not further specified (5)
Myocardial infarction,G30..00,241,Acute myocardial infarction,Acute MI not further specified (5)
Myocardial infarction,G30..12,2491,Coronary thrombosis,Acute MI not further specified (5)
Myocardial infarction,G30..13,30421,Cardiac rupture following myocardial infarction (MI),Acute MI not further specified (5)
Myocardial infarction,G30..15,1677,MI - acute myocardial infarction,Acute MI not further specified (5)
Myocardial infarction,G30..16,13571,Thrombosis - coronary,Acute MI not further specified (5)
Myocardial infarction,G300.00,12139,Acute anterolateral infarction,Acute MI not further specified (5)
Myocardial infarction,G301.00,5387,Other specified anterior myocardial infarction,Acute MI not further specified (5)
Myocardial infarction,G301000,40429,Acute anteroapical infarction,Acute MI not further specified (5)
Myocardial infarction,G301100,17872,Acute anteroseptal infarction,Acute MI not further specified (5)
Myocardial infarction,G301z00,14897,Anterior myocardial infarction NOS,Acute MI not further specified (5)
Myocardial infarction,G302.00,8935,Acute inferolateral infarction,Acute MI not further specified (5)
Myocardial infarction,G303.00,29643,Acute inferoposterior infarction,Acute MI not further specified (5)
Myocardial infarction,G304.00,23892,Posterior myocardial infarction NOS,Acute MI not further specified (5)
Myocardial infarction,G305.00,14898,Lateral myocardial infarction NOS,Acute MI not further specified (5)
Myocardial infarction,G306.00,63467,True posterior myocardial infarction,Acute MI not further specified (5)
Myocardial infarction,G307.00,3704,Acute subendocardial infarction,Acute MI not further specified (5)
Myocardial infarction,G307000,9507,Acute non-Q wave infarction,Acute MI not further specified (5)
Myocardial infarction,G308.00,1678,Inferior myocardial infarction NOS,Acute MI not further specified (5)
Myocardial infarction,G309.00,30330,Acute Q-wave infarct,Acute MI not further specified (5)
Myocardial infarction,G30B.00,32854,Acute posterolateral myocardial infarction,Acute MI not further specified (5)
Myocardial infarction,G30X.00,29758,Acute transmural myocardial infarction of unspecif site,Acute MI not further specified (5)
Myocardial infarction,G30y.00,34803,Other acute myocardial infarction,Acute MI not further specified (5)
Myocardial infarction,G30y000,28736,Acute atrial infarction,Acute MI not further specified (5)
Myocardial infarction,G30y100,62626,Acute papillary muscle infarction,Acute MI not further specified (5)
Myocardial infarction,G30y200,41221,Acute septal infarction,Acute MI not further specified (5)
Myocardial infarction,G30yz00,46017,Other acute myocardial infarction NOS,Acute MI not further specified (5)
Myocardial infarction,G30z.00,14658,Acute myocardial infarction NOS,Acute MI not further specified (5)
Myocardial infarction,G31y100,68357,Microinfarction of heart,Acute MI not further specified (5)
Myocardial infarction,G38..00,32272,Postoperative myocardial infarction,Acute MI not further specified (5)
Myocardial infarction,G380.00,46112,Postoperative transmural myocardial infarction anterior wall,Acute MI not further specified (5)
Myocardial infarction,G381.00,46276,Postoperative transmural myocardial infarction inferior wall,Acute MI not further specified (5)
Myocardial infarction,G384.00,41835,Postoperative subendocardial myocardial infarction,Acute MI not further specified (5)
Myocardial infarction,G38z.00,68748,"Postoperative myocardial infarction, unspecified",Acute MI not further specified (5)
Myocardial infarction,Gyu3400,96838,[X]Acute transmural myocardial infarction of unspecif site,Acute MI not further specified (5)
Myocardial infarction,G35..00,18842,Subsequent myocardial infarction,Subsequent MI (6)
Myocardial infarction,G350.00,45809,Subsequent myocardial infarction of anterior wall,Subsequent MI (6)
Myocardial infarction,G351.00,38609,Subsequent myocardial infarction of inferior wall,Subsequent MI (6)
Myocardial infarction,G353.00,72562,Subsequent myocardial infarction of other sites,Subsequent MI (6)
Myocardial infarction,G35X.00,46166,Subsequent myocardial infarction of unspecified site,Subsequent MI (6)
Myocardial infarction,G310.11,15661,Dressler's syndrome,Complications of MI (7)
Myocardial infarction,G36..00,36423,Certain current complication follow acute myocardial infarct,Complications of MI (7)
Myocardial infarction,G360.00,24126,Haemopericardium/current comp folow acut myocard infarct,Complications of MI (7)
Myocardial infarction,G361.00,23708,Atrial septal defect/curr comp folow acut myocardal infarct,Complications of MI (7)
Myocardial infarction,G362.00,37657,Ventric septal defect/curr comp fol acut myocardal infarctn,Complications of MI (7)
Myocardial infarction,G363.00,59189,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI,Complications of MI (7)
Myocardial infarction,G364.00,59940,Ruptur chordae tendinae/curr comp fol acute myocard infarct,Complications of MI (7)
Myocardial infarction,G365.00,69474,Rupture papillary muscle/curr comp fol acute myocard infarct,Complications of MI (7)
Myocardial infarction,G366.00,29553,"Thrombosis atrium,auric append&vent/curr comp foll acute MI",Complications of MI (7)
Myocardial infarction,G501.00,35119,Post infarction pericarditis,Complications of MI (7)
