Disease,Readcode,Medcode,ReadcodeDescr,Category
Nasal polyp,2D33.00,6411.0,O/E - nasal polyp present,Diagnosis of Nasal polyp
Nasal polyp,7402900.0,25976.0,Excision of polyp of nasal septum,Procedure for Nasal polyp
Nasal polyp,7402911.0,8225.0,Nasal septum polypectomy,Procedure for Nasal polyp
Nasal polyp,7406000.0,811.0,Nasal polypectomy,Procedure for Nasal polyp
Nasal polyp,7406700.0,69714.0,Nasal polypectomy using auto-debrider,Procedure for Nasal polyp
Nasal polyp,7416F00,42166.0,Functional endoscopic sinus surg - polypectomy nasal sinus,Procedure for Nasal polyp
Nasal polyp,H110000,31837.0,Choanal polyp,Diagnosis of Nasal polyp
Nasal polyp,H110100,47466.0,Nasopharyngeal polyp,Diagnosis of Nasal polyp
Nasal polyp,H110.00,977.0,Polyp of nasal cavity,Diagnosis of Nasal polyp
Nasal polyp,H110z00,14749.0,Polyp of nasal cavity NOS,Diagnosis of Nasal polyp
Nasal polyp,H111000,36229.0,Woakes' ethmoiditis,Diagnosis of Nasal polyp
Nasal polyp,H111.00,44934.0,Polypoid sinus degeneration,Diagnosis of Nasal polyp
Nasal polyp,H111z00,50528.0,Polypoid sinus degeneration NOS,Diagnosis of Nasal polyp
Nasal polyp,H11..00,4686.0,Nasal polyps,Diagnosis of Nasal polyp
Nasal polyp,H11y000,91482.0,Polyp of frontal sinus,Diagnosis of Nasal polyp
Nasal polyp,H11y100,11744.0,Polyp of ethmoidal sinus,Diagnosis of Nasal polyp
Nasal polyp,H11y200,35897.0,Polyp of maxillary sinus,Diagnosis of Nasal polyp
Nasal polyp,H11y211,4341.0,Antral (maxillary) polyp,Diagnosis of Nasal polyp
Nasal polyp,H11y300,61281.0,Polyp of sphenoidal sinus,Diagnosis of Nasal polyp
Nasal polyp,H11y.00,56372.0,Other polyp of sinus,Diagnosis of Nasal polyp
Nasal polyp,H11y.11,19742.0,Nasal sinus polyps,Diagnosis of Nasal polyp
Nasal polyp,H11yz00,44518.0,Other polyp of sinus NOS,Diagnosis of Nasal polyp
Nasal polyp,H11z.00,14888.0,Nasal polyp NOS,Diagnosis of Nasal polyp
Nasal polyp,Hyu2300,69765.0,[X]Other polyp of sinus,Diagnosis of Nasal polyp
