Disease,Readcode,Medcode,ReadcodeDescr,Category
Neuromuscular dysfunction of bladder,F246111,30941.0,Atonic bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,F246112,5309.0,Neurogenic bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,F246113,37444.0,Neuropathic bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K164000,32697.0,Hypotonic bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K164100,41628.0,Bladder inertia,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K164.00,49372.0,Atony of bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K164.11,11490.0,Atonic bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K164z00,56009.0,Atony of bladder NOS,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K165000,37502.0,Hypertonic bladder sphincter,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K165100,52174.0,Bladder sphincter paralysis,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K165300,6676.0,Detrusor instability,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K165400,5993.0,Unstable bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K165.00,34452.0,Other functional disorder of bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K165z00,25836.0,Other bladder function disorder NOS,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K16V000,29881.0,Neuropathic bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K16V011,25398.0,Neurogenic bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K16V100,98192.0,Overactive bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K16V.00,21278.0,"Neuromuscular dysfunction of bladder, unspecified",Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K16W.00,11162.0,"Reflex neuropathic bladder, not elsewhere classified",Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K16X.00,31097.0,"Uninhibited neuropathic bladder, NEC",Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K16y400,887.0,Irritable bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K16y411,2248.0,Detrusor instability,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K16y412,31318.0,Unstable bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K16y800,7680.0,Functional disorder of bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,K16y811,4998.0,Functional voiding disorder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,Kyu5200,108426.0,[X]Other neuromuscular dysfunction of bladder,Diagnosis of Neuromuscular dysfunction of bladder
Neuromuscular dysfunction of bladder,Kyu5E00,90866.0,"[X]Neuromuscular dysfunction of bladder, unspecified",Diagnosis of Neuromuscular dysfunction of bladder
