Disease,Readcode,Medcode,ReadcodeDescr,Category
Obesity,1444.00,16196.0,H/O: obesity,History of Obesity
Obesity,212Q.00,52703.0,Obesity resolved,History of Obesity
Obesity,222A.00,59780.0,O/E - obese,Diagnosis of Obesity
Obesity,22A5.11,7984.0,O/E - obese,Diagnosis of Obesity
Obesity,22K5.00,13278.0,Body mass index 30+ - obesity,Diagnosis of Obesity
Obesity,22K7.00,22556.0,Body mass index 40+ - severely obese,Diagnosis of Obesity
Obesity,66C1.00,38658.0,Initial obesity assessment,Diagnosis of Obesity
Obesity,66C2.00,29538.0,Follow-up obesity assessment,History of Obesity
Obesity,66C4.00,3176.0,Has seen dietician - obesity,Diagnosis of Obesity
Obesity,66C5.00,64712.0,Treatment of obesity changed,Diagnosis of Obesity
Obesity,66C6.00,38632.0,Treatment of obesity started,Diagnosis of Obesity
Obesity,66C..00,11461.0,Obesity monitoring,History of Obesity
Obesity,66CE.00,17444.0,Reason for obesity therapy - occupational,Diagnosis of Obesity
Obesity,66CZ.00,40153.0,Obesity monitoring NOS,History of Obesity
Obesity,7633.00,39123.0,Bypass of jejunum,Procedure for Obesity
Obesity,7611400.0,93378.0,Sleeve gastrectomy and duodenal switch,Procedure for Obesity
Obesity,7611500.0,89259.0,Sleeve gastrectomy NEC,Procedure for Obesity
Obesity,7611600.0,89148.0,Laparoscopic sleeve gastrectomy,Procedure for Obesity
Obesity,7613100.0,34119.0,Partitioning of stomach,Procedure for Obesity
Obesity,7613111.0,59622.0,Mason vertical banded gastroplasty,Procedure for Obesity
Obesity,7613200.0,18863.0,Laparoscopic adjustable gastric banding,Procedure for Obesity
Obesity,7613300.0,88474.0,Partitioning of stomach using band,Procedure for Obesity
Obesity,7613400.0,56926.0,Partitioning of stomach using staples,Procedure for Obesity
Obesity,7613500.0,90600.0,Partitioning of stomach NEC,Procedure for Obesity
Obesity,7613600.0,97691.0,Maintenance of gastric band,Procedure for Obesity
Obesity,7614100.0,40977.0,Bypass of stomach by anastomosis of stomach to duodenum,Procedure for Obesity
Obesity,7615000.0,39797.0,Bypass stomach by anastomosis stomach to transposed jejunum,Procedure for Obesity
Obesity,7616000.0,7082.0,Bypass of stomach by anastomosis of stomach to jejunum NEC,Procedure for Obesity
Obesity,7616013.0,92957.0,Mason high gastric bypass,Procedure for Obesity
Obesity,7616015.0,48417.0,Printer high gastric bypass,Procedure for Obesity
Obesity,7616600.0,95929.0,Laparoscopic gastric bypass,Procedure for Obesity
Obesity,7633000.0,56107.0,Bypass of jejunum by anastomosis of jejunum to jejunum,Procedure for Obesity
Obesity,7633100.0,19929.0,Bypass of jejunum by anastomosis of jejunum to ileum,Procedure for Obesity
Obesity,7633200.0,62848.0,Bypass of jejunum by anastomosis of jejunum to colon,Procedure for Obesity
Obesity,7642500.0,90517.0,Duodenal switch,Procedure for Obesity
Obesity,761A500,90454.0,Removal of gastric band,Procedure for Obesity
Obesity,7633y00,64123.0,Other specified bypass of jejunum,Procedure for Obesity
Obesity,7633z00,60421.0,Bypass of jejunum NOS,Procedure for Obesity
Obesity,9OK1.00,52034.0,Attends obesity monitoring,History of Obesity
Obesity,9OK2.00,67516.0,Refuses obesity monitoring,History of Obesity
Obesity,9OK3.00,52036.0,Obesity monitoring default,History of Obesity
Obesity,9OK4.00,49409.0,Obesity monitoring 1st letter,History of Obesity
Obesity,9OK5.00,55586.0,Obesity monitoring 2nd letter,History of Obesity
Obesity,9OK6.00,55585.0,Obesity monitoring 3rd letter,History of Obesity
Obesity,9OK7.00,70950.0,Obesity monitoring verbal inv.,History of Obesity
Obesity,9OK8.00,67517.0,Obesity monitor phone invite,History of Obesity
Obesity,9OK..00,32843.0,Obesity monitoring admin.,History of Obesity
Obesity,9OK..11,21744.0,Obesity clinic administration,History of Obesity
Obesity,9OKA.00,47439.0,Obesity monitoring check done,History of Obesity
Obesity,9OKZ.00,52735.0,Obesity monitoring admin.NOS,History of Obesity
Obesity,C380000,38799.0,Obesity due to excess calories,Diagnosis of Obesity
Obesity,C380100,49250.0,Drug-induced obesity,Diagnosis of Obesity
Obesity,C380200,38059.0,Extreme obesity with alveolar hypoventilation,Diagnosis of Obesity
Obesity,C380300,8854.0,Morbid obesity,Diagnosis of Obesity
Obesity,C380400,22695.0,Central obesity,Diagnosis of Obesity
Obesity,C380500,25968.0,Generalised obesity,Diagnosis of Obesity
Obesity,C380600,104129.0,Adult-onset obesity,Diagnosis of Obesity
Obesity,C380700,104421.0,Lifelong obesity,Diagnosis of Obesity
Obesity,C380.00,430.0,Obesity,Diagnosis of Obesity
Obesity,C38..00,66406.0,Obesity and other hyperalimentation,Diagnosis of Obesity
Obesity,C38y000,38294.0,Pickwickian syndrome,Diagnosis of Obesity
Obesity,C38y011,103574.0,Obesity hypoventilation syndrome,Diagnosis of Obesity
Obesity,C38y.11,24755.0,Pickwickian syndrome,Diagnosis of Obesity
Obesity,C38z000,11401.0,Simple obesity NOS,Diagnosis of Obesity
Obesity,C38z.00,70898.0,Obesity and other hyperalimentation NOS,Diagnosis of Obesity
Obesity,Cyu7000,69757.0,[X]Other obesity,Diagnosis of Obesity
Obesity,Cyu7.00,52782.0,[X]Obesity and other hyperalimentation,Diagnosis of Obesity
Obesity,ZC2CM00,10728.0,Dietary advice for obesity,Diagnosis of Obesity
Obesity,ZV45P00,97014.0,[V]Presence of gastric bypass,History of Obesity
Obesity,ZV65319,17477.0,[V]Dietary counselling in obesity,Diagnosis of Obesity
