"Disease","Read code","Medcode","Descr","Category"
"Patent ductus arteriosus","7A01000","50019.0","Division of patent ductus arteriosus","Procedure for Patent ductus arteriosus"
"Patent ductus arteriosus","7A01100","9573.0","Ligation of patent ductus arteriosus","Procedure for Patent ductus arteriosus"
"Patent ductus arteriosus","7A01200","36668.0","Closure of patent ductus arteriosus NEC","Procedure for Patent ductus arteriosus"
"Patent ductus arteriosus","7A01300","63163.0","Revision of correction of patent ductus arteriosus","Procedure for Patent ductus arteriosus"
"Patent ductus arteriosus","7A01.00","21090.0","Open correction of patent ductus arteriosus","Procedure for Patent ductus arteriosus"
"Patent ductus arteriosus","7A01.11","7342.0","Open correction of patent ductus arteriosus (PDA)","Procedure for Patent ductus arteriosus"
"Patent ductus arteriosus","7A01y00","106081.0","Other specified open correction of patent ductus arteriosus","Procedure for Patent ductus arteriosus"
"Patent ductus arteriosus","7A01z00","2728.0","Open correction of patent ductus arteriosus NOS","Procedure for Patent ductus arteriosus"
"Patent ductus arteriosus","7A02000","12889.0","Percut transluminal prosth occlusion patent ductus arterios","Procedure for Patent ductus arteriosus"
"Patent ductus arteriosus","7A02011","19188.0","Percut translum prosth occlus patent ductus arteriosus (PDA)","Procedure for Patent ductus arteriosus"
"Patent ductus arteriosus","P70..00","2727.0","Patent ductus arteriosus","Diagnosis of Patent ductus arteriosus"
"Patent ductus arteriosus","P70..11","94257.0","Botalli's patent ductus","Diagnosis of Patent ductus arteriosus"
