Disease,Readcode,Medcode,ReadcodeDescr,Category
Primary Malignancy_Oro-pharyngeal,B000000,66270.0,"Malignant neoplasm of upper lip, external",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B000100,50296.0,"Malignant neoplasm of upper lip, lipstick area",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B000.00,73962.0,"Malignant neoplasm of upper lip, vermilion border",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B000z00,98740.0,"Malignant neoplasm of upper lip, vermilion border NOS",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B001000,66384.0,"Malignant neoplasm of lower lip, external",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B001100,95480.0,"Malignant neoplasm of lower lip, lipstick area",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B001.00,67446.0,"Malignant neoplasm of lower lip, vermilion border",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B001z00,101707.0,"Malignant neoplasm of lower lip, vermilion border NOS",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B002100,99001.0,"Malignant neoplasm of upper lip, frenulum",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B002200,98500.0,"Malignant neoplasm of upper lip, mucosa",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B002300,90610.0,"Malignant neoplasm of upper lip, oral aspect",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B002.00,99493.0,"Malignant neoplasm of upper lip, inner aspect",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B002z00,100721.0,"Malignant neoplasm of upper lip, inner aspect NOS",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B003000,67504.0,"Malignant neoplasm of lower lip, buccal aspect",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B003100,91843.0,"Malignant neoplasm of lower lip, frenulum",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B003200,89909.0,"Malignant neoplasm of lower lip, mucosa",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B003300,94441.0,"Malignant neoplasm of lower lip, oral aspect",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B003.00,71147.0,"Malignant neoplasm of lower lip, inner aspect",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B003z00,96782.0,"Malignant neoplasm of lower lip, inner aspect NOS",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B004000,73614.0,"Malignant neoplasm of lip unspecified, buccal aspect",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B004200,68399.0,"Malignant neoplasm of lip unspecified, mucosa",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B004300,100144.0,"Malignant neoplasm of lip, oral aspect",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B004.00,61692.0,"Malignant neoplasm of lip unspecified, inner aspect",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B005.00,96783.0,Malignant neoplasm of commissure of lip,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B006.00,18882.0,Malignant neoplasm of overlapping lesion of lip,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B007.00,37553.0,"Malignant neoplasm of lip, unspecified",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B00..00,14712.0,Malignant neoplasm of lip,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B00..11,9984.0,Carcinoma of lip,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B00z000,100906.0,"Malignant neoplasm of lip, unspecified, external",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B00z100,94251.0,"Malignant neoplasm of lip, unspecified, lipstick area",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B00zz00,69761.0,"Malignant neoplasm of lip, vermilion border NOS",Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B010000,34409.0,Malignant neoplasm of base of tongue dorsal surface,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B010.00,43431.0,Malignant neoplasm of base of tongue,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,B010.11,69671.0,Malignant neoplasm of posterior third of tongue,Diagnosis of Primary Malignancy_Oro-pharyngeal
