Disease,Readcode,Medcode,ReadcodeDescr,Category
Primary Malignancy_Other Organs,4M20.00,60918.0,Lymphoma stage I,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,4M21.00,94935.0,Lymphoma stage II,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,4M22.00,32240.0,Lymphoma stage III,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,4M23.00,71672.0,Lymphoma stage IV,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,7G03K00,18270.0,Excision malignant skin tumour,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,A789500,27853.0,HIV disease resulting in Kaposi's sarcoma,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,A789511,108054.0,HIV disease resulting in Kaposi sarcoma,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B120.00,18613.0,Malignant neoplasm of duodenum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B121.00,43479.0,Malignant neoplasm of jejunum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B122.00,33871.0,Malignant neoplasm of ileum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B123.00,63995.0,Malignant neoplasm of Meckel's diverticulum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B124.00,66166.0,"Malignant neoplasm, overlapping lesion of small intestine",Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B12..00,6806.0,Malignant neoplasm of small intestine and duodenum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B12y.00,99896.0,Malignant neoplasm of other specified site small intestine,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B12z.00,43390.0,Malignant neoplasm of small intestine NOS,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B15..00,8918.0,Malignant neoplasm of liver and intrahepatic bile ducts,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B15z.00,38978.0,Malignant neoplasm of liver and intrahepatic bile ducts NOS,Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B160.00,16105.0,Malignant neoplasm of gallbladder,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B160.11,31393.0,Carcinoma gallbladder,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B16..00,54103.0,Malignant neoplasm gallbladder and extrahepatic bile ducts,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B16y.00,60312.0,Malignant neoplasm other gallbladder/extrahepatic bile duct,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B16z.00,15907.0,Malignant neoplasm gallbladder/extrahepatic bile ducts NOS,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B180100,65159.0,Malignant neoplasm of perinephric tissue,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B180200,24048.0,Malignant neoplasm of retrocaecal tissue,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B180.00,21330.0,Malignant neoplasm of retroperitoneum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B180z00,61555.0,Malignant neoplasm of retroperitoneum NOS,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B182.00,101907.0,Overlapping malign lesion of retroperitoneum and peritoneum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B18..00,44108.0,Malignant neoplasm of retroperitoneum and peritoneum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B18y100,59388.0,Malignant neoplasm of mesocaecum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B18y200,30165.0,Malignant neoplasm of mesorectum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B18y300,50898.0,Malignant neoplasm of omentum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B18y400,64516.0,Malignant neoplasm of parietal peritoneum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B18y500,39413.0,Malignant neoplasm of pelvic peritoneum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B18y600,69821.0,Malignant neoplasm of the pouch of Douglas,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B18y700,90290.0,Malignant neoplasm of mesentery,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B18y.00,46613.0,Malignant neoplasm of specified parts of peritoneum,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B18yz00,64106.0,Malignant neoplasm of specified parts of peritoneum NOS,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B18z.00,16298.0,Malignant neoplasm of retroperitoneum and peritoneum NOS,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B1z0.00,17559.0,"Malignant neoplasm of intestinal tract, part unspecified",Possible Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B1z1000,108667.0,Angiosarcoma of spleen,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B1z1100,72224.0,Fibrosarcoma of spleen,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B1z1.00,65460.0,Malignant neoplasm of spleen NEC,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B1z1z00,93778.0,Malignant neoplasm of spleen NOS,Diagnosis of Primary Malignancy_Other Organs
Primary Malignancy_Other Organs,B1z2.00,94776.0,"Malignant neoplasm, overlapping lesion of digestive system",Possible Diagnosis of Primary Malignancy_Other Organs
