Disease,Readcode,Medcode,ReadcodeDescr,Category
Primary or Idiopathic Thrombocytopaenia,42P2.11,16420.0,Auto-immune thrombocytopenia,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313000,12234.0,Idiopathic thrombocytopenic purpura,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313011,21604.0,Idiopathic purpura,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313012,5181.0,ITP - idiopathic thrombocytopenic purpura,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313100,55582.0,Congenital thrombocytopenic purpura,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313111,58906.0,Hereditary thrombocytopenia NEC,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313300,38754.0,[X]Essential thrombocytopenia NOS,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313.00,22463.0,Primary thrombocytopenia,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313.11,46754.0,Evan's syndrome,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313.12,5144.0,Idiopathic thrombocytopenic purpura,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313.13,71257.0,Idiopathic purpura,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313.14,65723.0,Megakaryocytic hypoplasia,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313.15,877.0,Thrombocytopenic purpura,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313y00,54005.0,Other specified primary thrombocytopenia,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313z00,57456.0,Primary thrombocytopenia NOS,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,D313z11,45698.0,Essential thrombocytopenia NOS,Diagnosis of Primary or Idiopathic Thrombocytopaenia
Primary or Idiopathic Thrombocytopaenia,Dyu3200,62795.0,[X]Other primary thrombocytopenia,Diagnosis of Primary or Idiopathic Thrombocytopaenia
