"Disease","Read code","Medcode","Descr","Category"
"Postinfective and reactive arthropathies","A993.00","8103.0","Reiter's disease / syndrome","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","A993.11","2194.0","Reiter's syndrome","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","M211400","49472.0","Keratoderma blennorrhagica","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N011400","98710.0","Sexually acquired reactive arthropathy of the hand","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N011600","73438.0","Sexually acquired reactive arthropathy of the lower leg","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N011.00","62953.0","Sexually acquired reactive arthropathy","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N011.12","49812.0","Arthropathy in Reiter's disease","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N011x00","31559.0","Sexually acquired reactive arthropathy of multiple sites","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N011z00","70741.0","Sexually acquired reactive arthropathy NOS","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N013400","110574.0","Postdysenteric reactive arthropathy of the hand","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N013700","68096.0","Postdysenteric reactive arthropathy of the ankle and foot","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N013.00","8017.0","Postdysenteric reactive arthropathy","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N013x00","107847.0","Postdysenteric reactive arthropathy of multiple sites","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01w000","53334.0","Reactive arthropathy of shoulder","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01w100","99398.0","Reactive arthropathy of sternoclavicular joint","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01w300","61906.0","Reactive arthropathy of elbow","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01w500","58590.0","Reactive arthropathy of wrist","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01w600","68933.0","Reactive arthropathy of MCP joint","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01w700","101937.0","Reactive arthropathy of PIP joint of finger","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01w800","103172.0","Reactive arthropathy of DIP joint of finger","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01w900","33790.0","Reactive arthropathy of hip","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01wA00","94911.0","Reactive arthropathy of sacro-iliac joint","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01wB00","53339.0","Reactive arthropathy of knee","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01wD00","50465.0","Reactive arthropathy of ankle","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01wH00","103289.0","Reactive arthropathy of 1st MTP joint","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01wJ00","107875.0","Reactive arthropathy of lesser MTP joint","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01wK00","62937.0","Reactive arthropathy of IP joint of toe","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N01w.00","3936.0","Reactive arthropathy, unspecified","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","N038.00","22634.0","Reactive arthropathies","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","Nyu0300","53817.0","[X]Other reactive arthropathies","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","Nyu0400","90859.0","[X]Other postinfectious arthropathies in diseases CE","Diagnosis of Postinfective and reactive arthropathies"
"Postinfective and reactive arthropathies","Nyu0500","73921.0","[X]Reactive arthropathy in other diseases CE","Diagnosis of Postinfective and reactive arthropathies"
