Disease,Readcode,Medcode,ReadcodeDescr,Category
Seborrheic dermatitis,M100.00,3069.0,Pityriasis capitis - dandruff,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M101.00,359.0,Seborrhoeic dermatitis,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M101.11,7425.0,Seborrhoeic dermatitis capitis,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M101.12,653.0,Seborrhoeic eczema,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M118000,45407.0,Infantile seborrhoeic dermatitis capitis,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M118011,6295.0,Cradle cap,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M118.00,3580.0,Infantile seborrhoeic dermatitis,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M118z00,21266.0,Infantile seborrhoeic dermatitis NOS,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M15y300,57525.0,Leiner's disease,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M165100,18970.0,Pityriasis folliculorum,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M165200,48641.0,Pityriasis streptogenes,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M244.11,3453.0,Seborrhoea capitis,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M263000,38493.0,Seborrhoea corporis,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M263100,35810.0,Seborrhoea faciei,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M263200,62750.0,Seborrhoea nasi,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M263300,65283.0,Seborrhoea oleosa,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M263.00,2556.0,Seborrhoea,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,M263z00,20150.0,Seborrhoea NOS,Diagnosis of Seborrheic dermatitis
Seborrheic dermatitis,Myu2000,48473.0,[X]Other seborrhoeic dermatitis,Diagnosis of Seborrheic dermatitis
