Disease,Readcode,Medcode,ReadcodeDescr,Category
Secondary or other Thrombocytopaenia,42P2.00,4006.0,Thrombocytopenia,Diagnosis of Secondary or other Thrombocytopaenia
Secondary or other Thrombocytopaenia,42P8.00,47751.0,Heparin induced thrombocytopenia screening test,Diagnosis of Secondary or other Thrombocytopaenia
Secondary or other Thrombocytopaenia,C391200,31322.0,Wiskott - Aldrich syndrome,Diagnosis of Secondary or other Thrombocytopaenia
Secondary or other Thrombocytopaenia,C391211,42439.0,Thrombocytopenic eczema with immunodeficiency,Diagnosis of Secondary or other Thrombocytopaenia
Secondary or other Thrombocytopaenia,D314100,38137.0,Thrombocytopenia due to drugs,Diagnosis of Secondary or other Thrombocytopaenia
Secondary or other Thrombocytopaenia,D314200,108345.0,Thrombocytopenia due to extracorporeal circulation of blood,Diagnosis of Secondary or other Thrombocytopaenia
Secondary or other Thrombocytopaenia,D314300,107488.0,Heparin-induced thrombocytopenia,Diagnosis of Secondary or other Thrombocytopaenia
Secondary or other Thrombocytopaenia,D314.00,20181.0,Secondary thrombocytopenia,Diagnosis of Secondary or other Thrombocytopaenia
Secondary or other Thrombocytopaenia,D314y00,68333.0,Other specified secondary thrombocytopenia,Diagnosis of Secondary or other Thrombocytopaenia
Secondary or other Thrombocytopaenia,D314z00,63910.0,Secondary thrombocytopenia NOS,Diagnosis of Secondary or other Thrombocytopaenia
Secondary or other Thrombocytopaenia,D315.00,880.0,Thrombocytopenia NOS,Diagnosis of Secondary or other Thrombocytopaenia
Secondary or other Thrombocytopaenia,G756100,21697.0,Thrombotic thrombocytopenic purpura,Diagnosis of Secondary or other Thrombocytopaenia
