Disease,Readcode,Medcode,ReadcodeDescr,Category
Stable angina,G33z400,32450,Ischaemic chest pain,"Chest pain, attributed to coronary causes (4)"
Stable angina,14A5.00,6336,H/O: angina pectoris,History of stable angina (1)
Stable angina,14AJ.00,57062,H/O: Angina in last year,History of stable angina (1)
Stable angina,662K.00,13185,Angina control,Stable angina (4)
Stable angina,662K000,19542,Angina control - good,Stable angina (4)
Stable angina,662K100,15373,Angina control - poor,Stable angina (4)
Stable angina,662K200,14782,Angina control - improving,Stable angina (4)
Stable angina,662Kz00,15349,Angina control NOS,Stable angina (4)
Stable angina,8B27.00,45960,Antianginal therapy,Stable angina (4)
Stable angina,G33..00,1430,Angina pectoris,Stable angina (4)
Stable angina,G330.00,20095,Angina decubitus,Stable angina (4)
Stable angina,G330000,18125,Nocturnal angina,Stable angina (4)
Stable angina,G330z00,29902,Angina decubitus NOS,Stable angina (4)
Stable angina,G33z.00,25842,Angina pectoris NOS,Stable angina (4)
Stable angina,G33z100,54535,Stenocardia,Stable angina (4)
Stable angina,G33z200,7696,Syncope anginosa,Stable angina (4)
Stable angina,G33z300,1414,Angina on effort,Stable angina (4)
Stable angina,G33z500,9555,Post infarct angina,Stable angina (4)
Stable angina,G33z600,26863,New onset angina,Stable angina (4)
Stable angina,G33z700,12804,Stable angina,Stable angina (4)
Stable angina,G33zz00,28554,Angina pectoris NOS,Stable angina (4)
Stable angina,G34y000,24540,Chronic coronary insufficiency,Stable angina (4)
Stable angina,Gyu3000,39546,[X]Other forms of angina pectoris,Stable angina (4)
Stable angina,7928.11,5703,Percutaneous balloon coronary angioplasty,PCI performed (2)
Stable angina,7928000,18670,Percut transluminal balloon angioplasty one coronary artery,PCI performed (2)
Stable angina,7928100,33735,Percut translum balloon angioplasty mult coronary arteries,PCI performed (2)
Stable angina,7928200,42462,Percut translum balloon angioplasty bypass graft coronary a,PCI performed (2)
Stable angina,7928300,86071,Percut translum cutting balloon angioplasty coronary artery,PCI performed (2)
Stable angina,7928y00,41547,Transluminal balloon angioplasty of coronary artery OS,PCI performed (2)
Stable angina,7928z00,732,Transluminal balloon angioplasty of coronary artery NOS,PCI performed (2)
Stable angina,7929000,22828,Percutaneous transluminal laser coronary angioplasty,PCI performed (2)
Stable angina,7929300,19046,Rotary blade coronary angioplasty,PCI performed (2)
Stable angina,7929400,8942,Insertion of coronary artery stent,PCI performed (2)
Stable angina,7929500,42304,Insertion of drug-eluting coronary artery stent,PCI performed (2)
Stable angina,7929600,93618,Percutaneous transluminal atherectomy of coronary artery,PCI performed (2)
Stable angina,792B000,22020,Endarterectomy of coronary artery NEC,PCI performed (2)
Stable angina,793G.00,43939,Perc translumin balloon angioplasty stenting coronary artery,PCI performed (2)
Stable angina,793G000,60067,Perc translum ball angio insert 1-2 drug elut stents cor art,PCI performed (2)
Stable angina,793G100,87849,Perc tran ball angio ins 3 or more drug elut stents cor art,PCI performed (2)
Stable angina,793G200,85947,Perc translum balloon angioplasty insert 1-2 stents cor art,PCI performed (2)
Stable angina,793G300,92927,Percutaneous cor balloon angiop 3 more stents cor art NEC,PCI performed (2)
Stable angina,793Gy00,96537,OS perc translumina balloon angioplast stenting coronary art,PCI performed (2)
Stable angina,793Gz00,61208,Perc translum balloon angioplasty stenting coronary art NOS,PCI performed (2)
Stable angina,7A54000,733,Percutaneous transluminal angioplasty of artery NEC,PCI performed (2)
Stable angina,7A54500,38813,Rotary blade angioplasty,PCI performed (2)
Stable angina,7A54800,70185,Percutaneous transluminal atherectomy,PCI performed (2)
Stable angina,7A56400,86773,Percutaneous transluminal balloon angioplasty of artery,PCI performed (2)
Stable angina,7A6G100,20903,Peroperative angioplasty,PCI performed (2)
Stable angina,7A6H300,64923,Prosthetic graft patch angioplasty,PCI performed (2)
Stable angina,7A6H400,66921,Percutaneous transluminal angioplasty of vascular graft,PCI performed (2)
Stable angina,792..11,737,Coronary artery bypass graft operations,CABG Performed (2)
Stable angina,7920,18249,Saphenous vein graft replacement of coronary artery,CABG Performed (2)
Stable angina,7920.11,8312,Saphenous vein graft bypass of coronary artery,CABG Performed (2)
Stable angina,7920000,8679,Saphenous vein graft replacement of one coronary artery,CABG Performed (2)
Stable angina,7920100,7634,Saphenous vein graft replacement of two coronary arteries,CABG Performed (2)
Stable angina,7920200,7442,Saphenous vein graft replacement of three coronary arteries,CABG Performed (2)
Stable angina,7920300,11610,Saphenous vein graft replacement of four+ coronary arteries,CABG Performed (2)
Stable angina,7920y00,7137,Saphenous vein graft replacement of coronary artery OS,CABG Performed (2)
Stable angina,7920z00,51515,Saphenous vein graft replacement coronary artery NOS,CABG Performed (2)
Stable angina,7921,9414,Other autograft replacement of coronary artery,CABG Performed (2)
Stable angina,7921.11,7134,Other autograft bypass of coronary artery,CABG Performed (2)
Stable angina,7921000,44561,Autograft replacement of one coronary artery NEC,CABG Performed (2)
Stable angina,7921100,19413,Autograft replacement of two coronary arteries NEC,CABG Performed (2)
Stable angina,7921200,10209,Autograft replacement of three coronary arteries NEC,CABG Performed (2)
Stable angina,7921300,42708,Autograft replacement of four of more coronary arteries NEC,CABG Performed (2)
Stable angina,7921y00,61310,Other autograft replacement of coronary artery OS,CABG Performed (2)
Stable angina,7921z00,7609,Other autograft replacement of coronary artery NOS,CABG Performed (2)
Stable angina,7922,31556,Allograft replacement of coronary artery,CABG Performed (2)
Stable angina,7922.11,32651,Allograft bypass of coronary artery,CABG Performed (2)
Stable angina,7922000,70111,Allograft replacement of one coronary artery,CABG Performed (2)
Stable angina,7922100,57241,Allograft replacement of two coronary arteries,CABG Performed (2)
Stable angina,7922200,45886,Allograft replacement of three coronary arteries,CABG Performed (2)
Stable angina,7922300,45370,Allograft replacement of four or more coronary arteries,CABG Performed (2)
Stable angina,7922y00,59423,Other specified allograft replacement of coronary artery,CABG Performed (2)
Stable angina,7922z00,48767,Allograft replacement of coronary artery NOS,CABG Performed (2)
Stable angina,7923,19402,Prosthetic replacement of coronary artery,CABG Performed (2)
Stable angina,7923.11,36011,Prosthetic bypass of coronary artery,CABG Performed (2)
Stable angina,7923000,92419,Prosthetic replacement of one coronary artery,CABG Performed (2)
Stable angina,7923100,66664,Prosthetic replacement of two coronary arteries,CABG Performed (2)
Stable angina,7923200,66236,Prosthetic replacement of three coronary arteries,CABG Performed (2)
Stable angina,7923300,67761,Prosthetic replacement of four or more coronary arteries,CABG Performed (2)
Stable angina,7923z00,19193,Prosthetic replacement of coronary artery NOS,CABG Performed (2)
Stable angina,7925,37682,Connection of mammary artery to coronary artery,CABG Performed (2)
Stable angina,7925.11,28837,Creation of bypass from mammary artery to coronary artery,CABG Performed (2)
Stable angina,7925000,33718,Double anastomosis of mammary arteries to coronary arteries,CABG Performed (2)
Stable angina,7925100,31519,Double implant of mammary arteries into coronary arteries,CABG Performed (2)
Stable angina,7925300,51507,Single anastomosis of mammary artery to coronary artery NEC,CABG Performed (2)
Stable angina,7925311,22647,LIMA single anastomosis,CABG Performed (2)
Stable angina,7925312,68123,RIMA single anastomosis,CABG Performed (2)
Stable angina,7925400,68139,Single implantation of mammary artery into coronary artery,CABG Performed (2)
Stable angina,7925y00,37719,Connection of mammary artery to coronary artery OS,CABG Performed (2)
Stable angina,7925z00,56990,Connection of mammary artery to coronary artery NOS,CABG Performed (2)
Stable angina,7926,96804,Connection of other thoracic artery to coronary artery,CABG Performed (2)
Stable angina,7926000,62608,Double anastom thoracic arteries to coronary arteries NEC,CABG Performed (2)
Stable angina,7926200,67591,Single anastomosis of thoracic artery to coronary artery NEC,CABG Performed (2)
Stable angina,7926300,60753,Single implantation thoracic artery into coronary artery NEC,CABG Performed (2)
Stable angina,7926z00,72780,Connection of other thoracic artery to coronary artery NOS,CABG Performed (2)
Stable angina,7927500,5744,Open angioplasty of coronary artery,CABG Performed (2)
Stable angina,792C.00,55598,Other replacement of coronary artery,CABG Performed (2)
Stable angina,792C000,55092,Replacement of coronary arteries using multiple methods,CABG Performed (2)
Stable angina,792Cy00,93828,Other specified replacement of coronary artery,CABG Performed (2)
Stable angina,792Cz00,70755,Replacement of coronary artery NOS,CABG Performed (2)
Stable angina,792D.00,34963,Other bypass of coronary artery,CABG Performed (2)
Stable angina,792Dy00,3159,Other specified other bypass of coronary artery,CABG Performed (2)
Stable angina,792Dz00,33471,Other bypass of coronary artery NOS,CABG Performed (2)
Stable angina,SP00300,69776,Mechanical complication of coronary bypass,CABG Performed (2)
Stable angina,SP07600,12734,Coronary artery bypass graft occlusion,CABG Performed (2)
Stable angina,5543,1021,Coronary arteriograph.abnormal,Results abnormal (3)
Stable angina,3213100,1628,Exercise ECG abnormal,Results abnormal (3)
Stable angina,3213111,19827,Positive exercise ECG test,Results abnormal (3)
Stable angina,33B9500,5233,Exercise tolerance test abnormal,Results abnormal (3)
Stable angina,322..00,8246,ECG: myocardial ischaemia,Results abnormal- indicative of ischaemia (T-wave changes or ST-depression) (2)
Stable angina,3222,26973,ECG:shows myocardial ischaemia,Results abnormal- indicative of ischaemia (T-wave changes or ST-depression) (2)
Stable angina,322Z.00,35287,ECG: myocardial ischaemia NOS,Results abnormal- indicative of ischaemia (T-wave changes or ST-depression) (2)
Stable angina,32E4.00,42104,ECG: S-T depression,Results abnormal- indicative of ischaemia (T-wave changes or ST-depression) (2)
Stable angina,32F2.00,26965,ECG: T wave abnormal,Results abnormal- indicative of ischaemia (T-wave changes or ST-depression) (2)
Stable angina,32F3.00,46230,ECG: T wave flattened,Results abnormal- indicative of ischaemia (T-wave changes or ST-depression) (2)
Stable angina,32F4.00,26967,ECG: T wave inverted,Results abnormal- indicative of ischaemia (T-wave changes or ST-depression) (2)
Stable angina,5C11.00,58135,Radionuclide heart study abnormal,Results abnormal (3)
