Disease,Readcode,Medcode,ReadcodeDescr,Category
Systemic sclerosis,F396600,55601.0,Myopathy due to scleroderma,Diagnosis of Systemic sclerosis
Systemic sclerosis,H572.00,94996.0,Lung disease with systemic sclerosis,Diagnosis of Systemic sclerosis
Systemic sclerosis,K0H..00,105976.0,Acute scleroderma renal crisis,Diagnosis of Systemic sclerosis
Systemic sclerosis,K0J0.00,107382.0,Renal involvement in scleroderma,Diagnosis of Systemic sclerosis
Systemic sclerosis,N001000,44141.0,Progressive systemic sclerosis,Diagnosis of Systemic sclerosis
Systemic sclerosis,N001100,17675.0,CREST syndrome,Diagnosis of Systemic sclerosis
Systemic sclerosis,N001200,110174.0,Systemic sclerosis induced by drugs and chemicals,Diagnosis of Systemic sclerosis
Systemic sclerosis,N001.00,3670.0,Scleroderma,Diagnosis of Systemic sclerosis
Systemic sclerosis,N001.11,68277.0,Acrosclerosis,Diagnosis of Systemic sclerosis
Systemic sclerosis,N001.12,28417.0,Systemic sclerosis,Diagnosis of Systemic sclerosis
Systemic sclerosis,Nyu4500,71763.0,[X]Other forms of systemic sclerosis,Diagnosis of Systemic sclerosis
