Disease,Readcode,Medcode,ReadcodeDescr,Category
Thrombophilia,42jH.00,30873.0,Activated protein C with factor V deficient plasma,Diagnosis of Thrombophilia
Thrombophilia,42Qc.00,23134.0,Plasma activated protein C resistance,Diagnosis of Thrombophilia
Thrombophilia,42Qe.00,8674.0,Factor V Leiden genotype,Diagnosis of Thrombophilia
Thrombophilia,43GE100,107447.0,Lupus anticoagulant positive,Diagnosis of Thrombophilia
Thrombophilia,D303700,25971.0,Factor V Leiden mutation,Diagnosis of Thrombophilia
Thrombophilia,D303800,44146.0,Homozygous factor V Leiden mutation,Diagnosis of Thrombophilia
Thrombophilia,D303900,32933.0,Heterozygous factor V Leiden mutation,Diagnosis of Thrombophilia
Thrombophilia,D309.00,8479.0,Protein S deficiency,Diagnosis of Thrombophilia
Thrombophilia,D30A000,105875.0,Primary thrombophilia,Diagnosis of Thrombophilia
Thrombophilia,D30A.00,7516.0,Thrombophilia,Diagnosis of Thrombophilia
Thrombophilia,D30B.00,26102.0,Protein C deficiency,Diagnosis of Thrombophilia
Thrombophilia,N006.00,12177.0,Antiphospholipid syndrome,Diagnosis of Thrombophilia
