Disease,Readcode,Medcode,ReadcodeDescr,Category
Tinnitus,1C2..00,9927.0,Tinnitus symptoms,Diagnosis of Tinnitus
Tinnitus,1C23.00,12809.0,Ringing in ear,Diagnosis of Tinnitus
Tinnitus,1C24.00,17555.0,Hissing in ear,Diagnosis of Tinnitus
Tinnitus,1C2Z.00,36213.0,Tinnitus symptom NOS,Diagnosis of Tinnitus
Tinnitus,F583000,44714.0,Unspecified tinnitus,Diagnosis of Tinnitus
Tinnitus,F583100,44519.0,Subjective tinnitus,Diagnosis of Tinnitus
Tinnitus,F583200,59173.0,Objective tinnitus,Diagnosis of Tinnitus
Tinnitus,F583.00,338.0,Tinnitus,Diagnosis of Tinnitus
Tinnitus,F583z00,33737.0,Tinnitus NOS,Diagnosis of Tinnitus
Tinnitus,Z911200,46011.0,Fit tinnitus masker,Diagnosis of Tinnitus
Tinnitus,ZEB..00,45977.0,Observation of tinnitus,Diagnosis of Tinnitus
