Disease,Readcode,Medcode,ReadcodeDescr,Category
Ulcerative colitis,14C4.11,5749.0,H/O: ulcerative colitis,History of Ulcerative colitis
Ulcerative colitis,J410000,48732.0,Ulcerative ileocolitis,Diagnosis of Ulcerative colitis
Ulcerative colitis,J410100,704.0,Ulcerative colitis,Diagnosis of Ulcerative colitis
Ulcerative colitis,J410200,24858.0,Ulcerative rectosigmoiditis,Diagnosis of Ulcerative colitis
Ulcerative colitis,J410300,8347.0,Ulcerative proctitis,Diagnosis of Ulcerative colitis
Ulcerative colitis,J410400,22516.0,Exacerbation of ulcerative colitis,Diagnosis of Ulcerative colitis
Ulcerative colitis,J410.00,6650.0,Ulcerative proctocolitis,Diagnosis of Ulcerative colitis
Ulcerative colitis,J410z00,33456.0,Ulcerative proctocolitis NOS,Diagnosis of Ulcerative colitis
Ulcerative colitis,J411.00,30433.0,Ulcerative (chronic) enterocolitis,Diagnosis of Ulcerative colitis
Ulcerative colitis,J412.00,42822.0,Ulcerative (chronic) ileocolitis,Diagnosis of Ulcerative colitis
Ulcerative colitis,J413.00,104259.0,Ulcerative pancolitis,Diagnosis of Ulcerative colitis
Ulcerative colitis,J41..00,5133.0,Idiopathic proctocolitis,Diagnosis of Ulcerative colitis
Ulcerative colitis,J41..11,23950.0,Mucous colitis and/or proctitis,Diagnosis of Ulcerative colitis
Ulcerative colitis,J41..12,1784.0,Ulcerative colitis and/or proctitis,Diagnosis of Ulcerative colitis
Ulcerative colitis,J41y.00,24550.0,Other idiopathic proctocolitis,Diagnosis of Ulcerative colitis
Ulcerative colitis,J41yz00,43090.0,Other idiopathic proctocolitis NOS,Diagnosis of Ulcerative colitis
Ulcerative colitis,J41z.00,15207.0,Idiopathic proctocolitis NOS,Diagnosis of Ulcerative colitis
Ulcerative colitis,Jyu4100,53743.0,[X]Other ulcerative colitis,Diagnosis of Ulcerative colitis
Ulcerative colitis,N031000,17641.0,Arthropathy in ulcerative colitis,History of Ulcerative colitis
Ulcerative colitis,N045400,71083.0,Juvenile arthritis in ulcerative colitis,History of Ulcerative colitis
