Disease,Readcode,Medcode,ReadcodeDescr,Category
Unstable Angina,662K300,29300,Angina control - worsening,Worsening angina (2)
Unstable Angina,G311300,34328,Refractory angina,Worsening angina (2)
Unstable Angina,G311400,18118,Worsening angina,Worsening angina (2)
Unstable Angina,G311.00,36523,Preinfarction syndrome,Unstable angina (3)
Unstable Angina,G311.11,4656,Crescendo angina,Unstable angina (3)
Unstable Angina,G311.12,39655,Impending infarction,Unstable angina (3)
Unstable Angina,G311.13,1431,Unstable angina,Unstable angina (3)
Unstable Angina,G311.14,19655,Angina at rest,Unstable angina (3)
Unstable Angina,G311100,7347,Unstable angina,Unstable angina (3)
Unstable Angina,G311200,17307,Angina at rest,Unstable angina (3)
Unstable Angina,G311z00,54251,Preinfarction syndrome NOS,Unstable angina (3)
Unstable Angina,G312.00,39449,Coronary thrombosis not resulting in myocardial infarction,Unstable angina (3)
Unstable Angina,G31y000,9276,Acute coronary insufficiency,Unstable angina (3)
Unstable Angina,G33z000,66388,Status anginosus,Unstable angina (3)
Unstable Angina,G311500,11983,Acute coronary syndrome,ACS diagnosed (3)
