Disease,Readcode,Medcode,ReadcodeDescr,Category
Oesophageal varices,7609300.0,43404.0,Local ligation of oesophageal varices,Procedure for Oesophageal varices
Oesophageal varices,7609400.0,20912.0,Open injection sclerotherapy to oesophageal varices,Procedure for Oesophageal varices
Oesophageal varices,7609.00,24220.0,Open operations on oesophageal varices,Procedure for Oesophageal varices
Oesophageal varices,7609y00,107975.0,Other specified open operation on oesophageal varices,Procedure for Oesophageal varices
Oesophageal varices,7609y11,62038.0,Tanner devascularisation for bleeding varices,Procedure for Oesophageal varices
Oesophageal varices,7609z00,20233.0,Open operation on oesophageal varices NOS,Procedure for Oesophageal varices
Oesophageal varices,760C300,11960.0,Fibreoptic endoscopic injection sclerotherapy oesoph varices,Procedure for Oesophageal varices
Oesophageal varices,760C500,16759.0,Fibreoptic endoscopic banding of oesophageal varices,Procedure for Oesophageal varices
Oesophageal varices,760F300,47214.0,Rigid oesophagoscopic injection sclerotherapy oesoph varices,Procedure for Oesophageal varices
Oesophageal varices,760F400,46647.0,Rigid oesophagoscopic banding of oesophageal varices,Procedure for Oesophageal varices
Oesophageal varices,761D800,89717.0,Fibreopt endoscop rubber band ligation of upper GIT varices,Procedure for Oesophageal varices
Oesophageal varices,G850.00,24989.0,Oesophageal varices with bleeding,Diagnosis of Oesophageal varices
Oesophageal varices,G851.00,30655.0,Oesophageal varices without bleeding,Diagnosis of Oesophageal varices
Oesophageal varices,G852000,96756.0,Oesophageal varices with bleeding in diseases EC,Diagnosis of Oesophageal varices
Oesophageal varices,G852100,73139.0,Oesophageal varices without bleeding in diseases EC,Diagnosis of Oesophageal varices
Oesophageal varices,G852200,26319.0,Oesophageal varices in cirrhosis of the liver,Diagnosis of Oesophageal varices
Oesophageal varices,G852300,8363.0,Oesophageal varices in alcoholic cirrhosis of the liver,Diagnosis of Oesophageal varices
Oesophageal varices,G852.00,44424.0,Oesophageal varices in diseases EC,Diagnosis of Oesophageal varices
Oesophageal varices,G852z00,62582.0,Oesophageal varices in diseases EC NOS,Diagnosis of Oesophageal varices
Oesophageal varices,G858.00,10797.0,Oesophageal varices NOS,Diagnosis of Oesophageal varices
Oesophageal varices,G85..11,1641.0,Oesophageal varices,Diagnosis of Oesophageal varices
Oesophageal varices,Gyu9400,105611.0,[X]Oesophageal varices in diseases classified elsewhere,Diagnosis of Oesophageal varices
