Disease,ICD10code,ICD10codeDescr,Category
Infection of liver,A06.4,Amoebic liver abscess,Diagnosis of Infection of liver
Infection of liver,B15,Acute hepatitis A,Diagnosis of Infection of liver
Infection of liver,B16,Acute hepatitis B,Diagnosis of Infection of liver
Infection of liver,B17,Other acute viral hepatitis,Diagnosis of Infection of liver
Infection of liver,B18,Chronic viral hepatitis,Diagnosis of Infection of liver
Infection of liver,B19,Unspecified viral hepatitis,Diagnosis of Infection of liver
Infection of liver,B25.1,Cytomegaloviral hepatitis,Diagnosis of Infection of liver
Infection of liver,B58.1,Toxoplasma hepatitis,Diagnosis of Infection of liver
Infection of liver,B67.0,Echinococcus granulosus infection of liver,Diagnosis of Infection of liver
Infection of liver,B67.5,Echinococcus multilocularis infection of liver,Diagnosis of Infection of liver
Infection of liver,B67.8,"Echinococcosis, unspecified, of liver",Diagnosis of Infection of liver
Infection of liver,B94.2,Sequelae of viral hepatitis,Diagnosis of Infection of liver
Infection of liver,K75.0,Abscess of liver,Diagnosis of Infection of liver
Infection of liver,K77.0,Liver disorders in infectious and parasitic diseases classified elsewhere,Diagnosis of Infection of liver
