Disease,ICD10codes,ICD10codeDescr,Category
Infections of Other or unspecified organs,A02.2,Localized salmonella infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A02.8,Other specified salmonella infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A02.9,"Salmonella infection, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A06.8,Amoebic infection of other sites,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A06.9,"Amoebiasis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A18.7,Tuberculosis of adrenal glands,Diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A18.8,Tuberculosis of other specified organs,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A19,Miliary tuberculosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A20.8,Other forms of plague,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A20.9,"Plague, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A21.7,Generalised tularaemia,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A21.8,Other forms of tularaemia,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A21.9,"Tularaemia, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A22.8,Other forms of anthrax,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A22.9,"Anthrax, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A23,Brucellosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A24,Glanders and melioidosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A25,Rat-bite fevers,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A26.8,Other forms of erysipeloid,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A26.9,"Erysipeloid, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A27,Leptospirosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A28,"Other zoonotic bacterial diseases, not elsewhere classified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A30,Leprosy [Hansen's disease],Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A31.8,Other mycobacterial infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A31.9,"Mycobacterial infection, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A32.8,Other forms of listeriosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A32.9,"Listeriosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A35,Other tetanus,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A36.8,Other diphtheria,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A36.9,"Diphtheria, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A38,Scarlet fever,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A39.8,Other meningococcal infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A39.9,"Meningococcal infection, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A42.1,Abdominal actinomycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A42.2,Cervicofacial actinomycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A42.8,Other forms of actinomycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A42.9,"Actinomycosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A43.8,Other forms of nocardiosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A43.9,"Nocardiosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A44,Bartonellosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A48,"Other bacterial diseases, not elsewhere classified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A49,Bacterial infection of unspecified site,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A50,Congenital syphilis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A51.2,Primary syphilis of other sites,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A51.4,Other secondary syphilis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A51.5,"Early syphilis, latent",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A51.9,"Early syphilis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A52.7,Other symptomatic late syphilis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A52.8,"Late syphilis, latent",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A52.9,"Late syphilis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A53,Other and unspecified syphilis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A54.8,Other gonococcal infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A54.9,"Gonococcal infection, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A56.8,Sexually transmitted chlamydial infection of other sites,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A59.8,Trichomoniasis of other sites,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A59.9,"Trichomoniasis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A63.8,Other specified predominantly sexually transmitted diseases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A64,Unspecified sexually transmitted disease,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A65,Nonvenereal syphilis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A66,Yaws,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A67,Pinta [carate],Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A68,Relapsing fevers,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A69,Other spirochaetal infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A70,Chlamydia psittaci infection,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A74.8,Other chlamydial diseases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A74.9,"Chlamydial infection, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A75,Typhus fever,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A77,Spotted fever [tick-borne rickettsioses],Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A78,Q fever,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A79,Other rickettsioses,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A90,Dengue fever [classical dengue],Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A91,Dengue haemorrhagic fever,Possible diagnosis of Infections of Other or unspecified organs
