Disease,ICD10code,ICD10codeDescr,Category
Primary Malignancy_Oro-pharyngeal,C00,Malignant neoplasm of lip,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C01,Malignant neoplasm of base of tongue,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C02,Malignant neoplasm of other and unspecified parts of tongue,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C03,Malignant neoplasm of gum,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C04,Malignant neoplasm of floor of mouth,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C05,Malignant neoplasm of palate,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C06,Malignant neoplasm of other and unspecified parts of mouth,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C07,Malignant neoplasm of parotid gland,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C08,Malignant neoplasm of other and unspecified major salivary glands,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C09,Malignant neoplasm of tonsil,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C10,Malignant neoplasm of oropharynx,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C11,Malignant neoplasm of nasopharynx,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C12,Malignant neoplasm of piriform sinus,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C13,Malignant neoplasm of hypopharynx,Diagnosis of Primary Malignancy_Oro-pharyngeal
Primary Malignancy_Oro-pharyngeal,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Diagnosis of Primary Malignancy_Oro-pharyngeal
