"Disease","ICD10codes","ICD10codeDescr","Category"
"Septicaemia","A02.1","Salmonella sepsis","Diagnosis of Septicaemia"
"Septicaemia","A20.7","Septicaemic plague","Diagnosis of Septicaemia"
"Septicaemia","A22.7","Anthrax sepsis","Diagnosis of Septicaemia"
"Septicaemia","A26.7","Erysipelothrix sepsis","Diagnosis of Septicaemia"
"Septicaemia","A32.7","Listerial sepsis","Diagnosis of Septicaemia"
"Septicaemia","A39.1","Waterhouse-Friderichsen syndrome","Diagnosis of Septicaemia"
"Septicaemia","A39.2","Acute meningococcaemia","Diagnosis of Septicaemia"
"Septicaemia","A39.3","Chronic meningococcaemia","Diagnosis of Septicaemia"
"Septicaemia","A39.4","Meningococcaemia, unspecified","Diagnosis of Septicaemia"
"Septicaemia","A40","Streptococcal sepsis","Diagnosis of Septicaemia"
"Septicaemia","A41","Other sepsis","Diagnosis of Septicaemia"
"Septicaemia","A42.7","Actinomycotic sepsis","Diagnosis of Septicaemia"
"Septicaemia","B37.7","Candidal sepsis","Diagnosis of Septicaemia"
"Septicaemia","P36","Bacterial sepsis of newborn","Diagnosis of Septicaemia"
