"Disease","OPCS4code","OPCS4codeDescr","Category"
"End stage renal disease","L74.6","Creation of graft fistula for dialysis","Procedure for End stage renal disease"
"End stage renal disease","M01.1","Autotransplantation of kidney","Procedure for End stage renal disease"
"End stage renal disease","M01.2","Allotransplantation of kidney from live donor","Procedure for End stage renal disease"
"End stage renal disease","M01.3","Allotransplantation of kidney from cadaver NEC","Procedure for End stage renal disease"
"End stage renal disease","M01.4","Allotransplantation of kidney from cadaver heart beating","Procedure for End stage renal disease"
"End stage renal disease","M01.5","Allotransplantation of kidney from cadaver heart non-beating","Procedure for End stage renal disease"
"End stage renal disease","M01.8","Other specified transplantation of kidney","Procedure for End stage renal disease"
"End stage renal disease","M01.9","Unspecified transplantation of kidney","Procedure for End stage renal disease"
"End stage renal disease","M02.6","Excision of rejected transplanted kidney","Procedure for End stage renal disease"
"End stage renal disease","M02.7","Excision of transplanted kidney NEC","Procedure for End stage renal disease"
"End stage renal disease","M08.4","Exploration of transplanted kidney","Procedure for End stage renal disease"
"End stage renal disease","M17.2","Pre-transplantation of kidney work-up - recipient","Procedure for End stage renal disease"
"End stage renal disease","M17.4","Post-transplantation of kidney examination - recipient","Procedure for End stage renal disease"
"End stage renal disease","M17.8","Other specified interventions associated with transplantation of kidney","Procedure for End stage renal disease"
"End stage renal disease","M17.9","Unspecified interventions associated with transplantation of kidney","Procedure for End stage renal disease"
"End stage renal disease","X40.1","Renal dialysis","Procedure for End stage renal disease"
"End stage renal disease","X40.2","Peritoneal dialysis NEC","Procedure for End stage renal disease"
"End stage renal disease","X40.3","Haemodialysis NEC","Procedure for End stage renal disease"
"End stage renal disease","X40.5","Automated peritoneal dialysis","Procedure for End stage renal disease"
"End stage renal disease","X40.6","Continuous ambulatory peritoneal dialysis","Procedure for End stage renal disease"
"End stage renal disease","X41.1","Insertion of ambulatory peritoneal dialysis catheter","Procedure for End stage renal disease"
"End stage renal disease","X41.2","Removal of ambulatory peritoneal dialysis catheter","Procedure for End stage renal disease"
"End stage renal disease","X42.1","Insertion of temporary peritoneal dialysis catheter","Procedure for End stage renal disease"
