"Disease","OPCS4code","OPCS4codeDescr","Category"
"Glaucoma","C60.1","Trabeculectomy","Procedure for glaucoma"
"Glaucoma","C60.2","Inclusion of iris","Procedure for glaucoma"
"Glaucoma","C60.3","Fixation of iris","Procedure for glaucoma"
"Glaucoma","C60.4","Iridoplasty NEC","Procedure for glaucoma"
"Glaucoma","C60.5","Insertion of tube into anterior chamber of eye to assist drainage of aqueous humour","Procedure for glaucoma"
"Glaucoma","C60.6","Viscocanulostomy","Procedure for glaucoma"
"Glaucoma","C60.8","Other specified filtering operations on iris","Procedure for glaucoma"
"Glaucoma","C60.9","Unspecified filtering operations on iris","Procedure for glaucoma"
"Glaucoma","C61.1","Laser trabeculoplasty","Procedure for glaucoma"
"Glaucoma","C61.2","Trabeculotomy","Procedure for glaucoma"
"Glaucoma","C61.3","Goniotomy","Procedure for glaucoma"
"Glaucoma","C61.4","Goniopuncture","Procedure for glaucoma"
"Glaucoma","C61.5","Viscogonioplasty","Procedure for glaucoma"
"Glaucoma","C61.8","Other specified other operations on trabecular meshwork of eye","Procedure for glaucoma"
"Glaucoma","C61.9","Unspecified other operations on trabecular meshwork of eye","Procedure for glaucoma"
"Glaucoma","C62.1","Iridosclerotomy","Procedure for glaucoma"
"Glaucoma","C62.2","Surgical iridotomy","Procedure for glaucoma"
"Glaucoma","C62.3","Laser iridotomy","Procedure for glaucoma"
"Glaucoma","C62.4","Correction iridodialysis NEC","Procedure for glaucoma"
"Glaucoma","C62.8","Other specified incision of iris","Procedure for glaucoma"
"Glaucoma","C62.9","Unspecified incision of iris","Procedure for glaucoma"
