"Disease","OPCS4code","OPCS4codeDescr","Category"
"Peptic ulcer disease","G35","Operations on ulcer of stomach","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","G35.1","Closure of perforated ulcer of stomach","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","G35.2","Closure of ulcer of stomach NEC","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","G35.8","Other specified operations on ulcer of stomach","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","G35.9","Unspecified operations on ulcer of stomach","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","G52","Operations on ulcer of duodenum","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","G52.1","Closure of perforated ulcer of duodenum","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","G52.2","Suture of ulcer of duodenum NEC","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","G52.3","Oversew of blood vessel of duodenal ulcer","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","G52.8","Other specified operations on ulcer of duodenum","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","G52.9","Unspecified operations on ulcer of duodenum","Procedure for Peptic ulcer disease"
